project;commits;benchmarks;params;forks;iteration1;iteration2;iteration3;iteration4;iteration5;time
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgs;limit=1;2;6;6;0;0;0;32.5184
jctools;;org.jctools.jmh.throughput.QueueThroughputBackoffNone.tpt;qCapacity=132000&qType=MpmcArrayQueue;4;7;10;22;13;0;94.2464
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=1000&qType=SpmcArrayQueue;4;18;16;17;17;0;110.93759999999999
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.onePrimitiveArgBaseline;limit=128000;5;13;15;14;14;15;124.0672
jctools;;org.jctools.jmh.collections.ConcurrentSetThroughput.rw;implementation=NonBlockingHashSet&readRatio=75&tableSize=100000;2;6;6;0;0;0;32.5184
jctools;;org.jctools.jmh.latency.MpqBurstCost.burstCost;burstSize=100&consumerCount=1&qType=SpmcArrayQueue;2;10;7;0;0;0;37.734399999999994
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.onePrimitiveArgBaseline;limit=1;5;19;15;15;10;14;126.1536
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgs;limit=128000;2;27;50;0;0;0;100.32639999999999
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.alignedPrimitiveArgs;limit=128000;2;6;9;0;0;0;35.647999999999996
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=100&qType=MpscArrayQueue;5;37;22;50;14;26;205.43679999999998
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.noArgsBaseline;limit=1;5;14;13;12;12;15;118.85119999999999
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline;limit=1;5;14;11;9;21;13;120.93759999999999
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.onePrimitiveArg;limit=1;2;6;6;0;0;0;32.5184
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.onePrimitiveArg;limit=128000;3;50;50;21;0;0;156.22719999999998
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgsBaseline;limit=128000;5;11;13;10;10;7;103.2032
jctools;;org.jctools.jmh.throughput.MpqThroughputBackoffNone.pr;qCapacity=132000&qType=SpscArrayQueue;3;12;18;17;0;0;79.03039999999999
jctools;;org.jctools.jmh.collections.SetOps.sum;keyBound=2048&occupancy=512&size=1024&type=java.util.HashSet;5;15;18;14;16;10;126.1536
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArg;limit=1;5;20;10;13;8;17;120.93759999999999
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.alignedPrimitiveArgs;limit=1;2;6;6;0;0;0;32.5184
jctools;;org.jctools.jmh.throughput.MpqThroughputBackoffNone.pr;qCapacity=132000&qType=MpmcArrayQueue;3;10;9;9;0;0;59.209599999999995
jctools;;org.jctools.jmh.throughput.IntrusiveQueueThroughputBackoffNone.tpt;;3;6;6;6;0;0;48.7776
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.tenMixedArgsBaseline;limit=1;5;8;9;9;6;11;94.85759999999999
jctools;;org.jctools.jmh.baseline.SingleThreadedOffer.offerLoop;qType=MpmcArrayQueue;2;6;6;0;0;0;32.5184
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneObjectArgBaseline;limit=10000;5;50;14;18;50;11;199.17759999999998
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.alignedPrimitiveArgs;limit=1;3;10;13;12;0;0;66.512
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgsBaseline;limit=1;5;15;15;13;15;11;121.98079999999999
jctools;;org.jctools.channels.spsc.QueueThroughputBaseline.tpt;qCapacity=128000&qType=SpscArrayQueue;4;26;19;8;23;0;119.2832
jctools;;org.jctools.jmh.throughput.MpqThroughputBackoffNone.nor;qCapacity=132000&qType=MpmcArrayQueue;2;9;11;0;0;0;40.864
jctools;;org.jctools.jmh.baseline.SingleThreadedOffer.offerLoop;qType=SpscArrayQueue;2;6;6;0;0;0;32.5184
