selected,project,is_fork,stars,forks,watchers,commits,authors,loc,locJava,authorTotal,jmhTests,jmhAuthors,score,name
YES,81421206,0,0,0,2,11,1,1229,694,1,4,1,5.4076,tinyj/tinyj-lazy
NO,40301126,1,0,0,1,317,8,58770,7099,8,5,1,74520.36,recoilme/lmdbjni
YES,44004999,0,0,0,1,6,1,1782,1268,1,17,1,18.1764,leeyikjiun/blog
YES,31639517,0,35,14,12,22,1,3237,2926,1,3,1,769.1112,rxin/jvm-unsafe-utils
YES,31788540,0,367,203,65,1188,31,41329,34067,31,10,2,560119703.616,spring-cloud/spring-cloud-sleuth
YES,12308598,0,1,0,1,70,1,14717,12690,1,5,1,1030.19,Abnaxos/guards
YES,93003834,0,0,0,1,7,2,392,208,2,5,1,2.744,mkosem/stringsplitting
YES,17937004,0,387,38,28,62,7,20672,3149,7,14,1,4873399.1936,hrldcpr/pcollections
YES,82259469,0,5,0,2,66,1,10172,9643,1,8,1,3222.4896,Javalbert/faster-than-reflection
NO,31932306,1,0,0,2,1491,35,73233,71153,35,3,3,1146499.2315,cogmission/htm-java
NO,39334308,1,0,0,1,59,4,6343,4578,4,3,1,449.0844,dflemstr/missinglink
YES,42324543,0,12,2,11,60,2,23591,22626,2,6,1,22081.176,FIXTradingCommunity/silverflash
YES,66080823,0,9,3,2,215,11,21927,19420,11,9,3,466716.195,vladimirdolzhenko/gflogger
YES,20550720,0,8,0,2,36,2,65275,19008,2,4,1,16919.28,xysun/sbe-erlang
YES,70342005,0,0,0,1,14,1,1356,1066,1,19,1,36.0696,andrepnh/data-structure-fun
NO,18311984,1,0,0,1,1746,35,66701,62451,35,2,1,815219.622,cberner/airlift
YES,80916361,0,0,0,1,12,1,2849,1421,1,15,1,51.282,npetzall/persistent-queue
YES,50768995,0,14,5,2,127,1,7581,6966,1,34,1,49102.137,davidmoten/rtree-3d
NO,44826097,1,0,0,3,1049,23,188593,185889,23,8,2,3640146.6488,shashankasharma/commons-csv
NO,62198140,1,0,0,1,31,7,3336,1905,7,1,2,72.3912,amannaly/jbender
YES,36906356,0,25,11,7,558,8,20828,10013,8,1,2,241738.0992,rmpestano/cukedoctor
