project,forked,watchers,stars,forks,subscribers
abersnaze/RxJava,True,0,0,0,7
prasanthj/bloomfilter,False,2,2,0,0
incubos/yoctodb,True,1,1,0,1
junkdog/artemis-odb,False,326,326,58,35
gssiyankai/RoaringBitmap,True,0,0,0,1
alexismeneses/pgjdbc,True,0,0,1,0
KevinTCoughlin/RxJava,True,0,0,0,1
arjunswaj/Java8,False,0,0,0,1
zsurocking/grpc-java,True,0,0,0,1
f1xmAn/bindable-executors,False,0,0,0,1
jmnarloch/feign,True,0,0,0,1
tbrooks8/quasar,True,0,0,0,1
addthis/codec,False,2,2,3,20
kratorius/jelf,False,0,0,0,1
LuminateWireless/grpc-java,True,0,0,0,6
mackstone/JCTools,True,0,0,0,1
christhalinger/graal-core,True,0,0,0,1
maxdemarzi/ChronicleGraph,False,1,1,1,1
tasomaniac/caffeine,True,1,1,0,1
arnaudroger/SimpleFlatMapper,False,126,126,23,8
Techcable/Event4J,False,22,22,5,3
audit4j/audit4j-benchmarks,False,0,0,1,1
johnaimes1a/f1x,False,3,3,2,5
Lawrence-zxc/springStarter,False,1,1,3,2
abhijitsarkar/java,False,1,1,2,2
junkdog/entity-system-benchmarks,False,15,15,6,4
androidyue/RxJava,True,0,0,0,1
LiveMyKarma/Finalizer,False,0,0,0,1
aitusoftware/flute,False,0,0,0,2
PizzaCrust/Trident,True,0,0,0,1
thinker0/aurora,True,0,0,0,0
jbachorik/btrace,False,993,993,196,166
Domo42/saga-lib,False,9,9,5,9
GumTreeDiff/gumtree,False,90,90,37,16
pdeva/druid,True,0,0,0,1
simonpatrick/stepbystep-java,False,0,0,0,0
Gilandel/utils,False,0,0,0,1
brettwooldridge/HikariJSON-benchmark,False,1,1,0,1
vladimirdolzhenko/hashCodeLegend,False,0,0,0,1
amoAHCP/Java8LunchSchool,False,0,0,2,1
wavesoftware/java-eid-exceptions,False,5,5,2,1
asympro/CleanStringBuilderBenchmark,False,0,0,0,1
coder-press/crazy-soap,False,0,0,1,3
VladimirErshov/ignite,True,0,0,0,1
graalvm/truffle,False,290,290,38,47
twitter/hpack,False,135,135,36,144
gunnarmorling/hibernate-validator,True,4,4,0,1
aslanbekirov/crate,True,0,0,0,1
jforge/Hystrix,True,0,0,0,1
linkedin/pinot,False,1475,1475,258,173
toxeh/presto,True,0,0,0,1
