"project","forked","stars","forks","watchers","repoAvailable","parentProject","rootProject","mainRepo","cloneUrl","lastUpdate","numberOfCommits","numberOfTags","numberOfContributors","jmhVersion","numberOfBenchmarks","javaTarget","javaSource","firstBenchmarkFound","lastCommit","lastCommitHash","defaultBranch"
"wavesoftware/java-eid-exceptions","false","9","4","1","true","","wavesoftware/java-eid-exceptions","true","https://github.com/wavesoftware/java-eid-exceptions.git","2018-12-29T21:53:27Z","106","6","2","1.16","9","","","1459461600","1546120327","3d3a3103c5858b6cbf68d2609a8949b717c38a56","develop"
"apache/commons-csv","false","167","164","48","true","","apache/commons-csv","true","https://github.com/apache/commons-csv.git","2019-08-19T08:36:47Z","1348","21","22","01.05.2002","8","1.8","1.8","1422745200","1565976859","d9745feba3f13a055558f87dc8bf54a4e865dde9","master"
"fenderstr/my-bench","false","0","0","1","true","","fenderstr/my-bench","true","https://github.com/fenderstr/my-bench.git","2014-10-19T18:51:57Z","2","0","1","0.9","18","","1.7","1413744710","1413746983","09c52245be3fe328af6355f141f59212c1c80f89","master"
"chrisvest/object-pool-benchmarks","false","11","3","2","true","","chrisvest/object-pool-benchmarks","true","https://github.com/chrisvest/object-pool-benchmarks.git","2019-02-19T19:03:15Z","30","0","2","01.10.2004","24","","","1406844000","1440250107","2269acc47e6dfc4aef5396c5e9b32bec9d0fb522","master"
"igorgallon/DC-UFSCar-ES2-201601--GrupoAbeliano","false","0","0","5","true","","igorgallon/DC-UFSCar-ES2-201601--GrupoAbeliano","true","https://github.com/igorgallon/DC-UFSCar-ES2-201601--GrupoAbeliano.git","2016-05-13T18:54:06Z","30","0","3","","4","1.8","1.8","1463164045","1466790957","3571b649ac4ce9939e372c5ad040ab96336d6823","master"
"winklerm/phreak-examples","false","16","14","5","true","","winklerm/phreak-examples","true","https://github.com/winklerm/phreak-examples.git","2019-03-13T11:45:30Z","30","0","2","0.5.3","0","","","","1395338195","","master"
"gavlyukovskiy/guava-commons","false","","","","false","","","","","","","","","","","","","","","",""
"cryptomator/cryptolib","false","48","22","10","true","","cryptomator/cryptolib","true","https://github.com/cryptomator/cryptolib.git","2019-08-01T09:30:27Z","209","23","3","1.21","8","9","1.7","1466035925","1555063198","33bc881f6ee7d4924043ea6309efd2c063ec3638","develop"
"maxdemarzi/graph_processing","false","34","9","7","true","","maxdemarzi/graph_processing","true","https://github.com/maxdemarzi/graph_processing.git","2019-07-15T20:46:24Z","29","0","3","01.10.2005","7","1.8","1.8","1427839200","1498765008","f3c38a47ecfff4ea037a4d086b509f2018c8e39a","master"
"dropwizard/dropwizard","false","7317","3057","447","true","","dropwizard/dropwizard","true","https://github.com/dropwizard/dropwizard.git","2019-08-20T11:14:59Z","5034","136","342","1.21","8","1.8","1.8","1430431200","1566299691","868622ec1a791fc1a83b30416f115d8069744423","master"
"nguyenhongson03/caffeine","true","0","0","1","true","ben-manes/caffeine","ben-manes/caffeine","","https://github.com/nguyenhongson03/caffeine.git","2015-09-21T13:53:48Z","644","7","6","1.11","46","","1.8","","","df4f80c9f7a2597f624f7c1bf8548878767265c8","master"
"BrentDouglas/vial","false","0","1","1","true","","BrentDouglas/vial","true","https://github.com/BrentDouglas/vial.git","2015-06-30T18:51:11Z","28","0","1","1.7","55","","","1430431200","1436952730","e472b6a7e28a61dbd739e5d0ff4eced54e35e6f7","master"
"kvr000/zbynek-concurrent-pof","false","0","0","1","true","","kvr000/zbynek-concurrent-pof","true","https://github.com/kvr000/zbynek-concurrent-pof.git","2015-10-18T18:23:09Z","28","0","1","01.11.2001","44","","","1445069939","1446927356","b08aecfc14407d56406d43ce78f3bc3446b0d8a3","master"
"Javalbert/faster-than-reflection","false","9","1","1","true","","Javalbert/faster-than-reflection","true","https://github.com/Javalbert/faster-than-reflection.git","2019-06-13T15:28:02Z","66","1","1","1","8","1.8","","1488322800","1488669945","9ecd4f49cd1596ae1b60ce6cd9f43e3dc6e48f73","master"
"jchambers/jvptree","false","24","5","3","true","","jchambers/jvptree","true","https://github.com/jchambers/jvptree.git","2019-02-04T22:33:09Z","82","3","1","1.17.3","8","1.7","1.7","1483225200","1536508067","dc86b0a81ae2601566e4d2623036446c8985bad7","master"
"taer/lettuce","true","1","1","1","true","lettuce-io/lettuce-core","lettuce-io/lettuce-core","","https://github.com/taer/lettuce.git","2017-03-22T07:21:44Z","873","18","12","01.11.2003","8","1.8","1.8","","","62eaf9e8695c0cf172f389f8d63fbea7c95ee021","master"
"smartpcr/druid","true","0","0","1","true","apache/incubator-druid","apache/incubator-druid","","https://github.com/smartpcr/druid.git","2018-07-06T15:32:37Z","5727","366","69","01.09.2002","8","1.7","","","","5c19ffa98c94b43fee1439be27c7465d5acef26c","master"
"fengshao0907/grpc-java","true","0","0","0","true","grpc/grpc-java","grpc/grpc-java","","https://github.com/fengshao0907/grpc-java.git","2015-07-28T12:14:22Z","634","3","29","01.07.2001","8","1.6","1.6","","","e36a64e6a6a29cfcafb6c4e7fb94af34b5573d1c","master"
"Tammie47/inspectIT","true","0","0","1","true","NTDT-UniTuebingen/inspectIT","inspectIT/inspectIT","","https://github.com/Tammie47/inspectIT.git","2016-01-13T10:06:24Z","456","0","12","","8","","","","","ad5bd0db520392d77e1981e9711b4a29d1ee9970","master"
"jhawo82882/MDP3Sample","false","0","0","1","true","","jhawo82882/MDP3Sample","true","https://github.com/jhawo82882/MDP3Sample.git","2015-01-27T21:27:08Z","939","1","16","","8","","","1412114400","1418072597","60d4ba94ad4f39deb6148acf1292fede75c5db5d","master"
"conchlee/grpc-java","true","0","0","1","true","grpc/grpc-java","grpc/grpc-java","","https://github.com/conchlee/grpc-java.git","2015-08-23T11:29:15Z","732","4","30","01.07.2001","8","1.6","1.6","","","21f9b44d14d5233925cfb1ee4acd69d30c26f49c","master"
"buchgr/grpc-java","true","0","0","1","true","grpc/grpc-java","grpc/grpc-java","","https://github.com/buchgr/grpc-java.git","2015-03-11T21:25:43Z","1021","0","43","01.07.2001","8","1.6","1.6","","","602473d78611847b580accd3ce293d2b24140745","master"
"akarnokd/reactive-streams-impl","false","1","0","1","true","","akarnokd/reactive-streams-impl","true","https://github.com/akarnokd/reactive-streams-impl.git","2015-11-18T11:23:05Z","28","0","1","01.10.2003","33","1.8","1.8","1440450315","1440450315","11446bf55175a6bef81120f9f7578964bc6a4733","master"
"tfgm-bud/simple-binary-encoding","true","0","0","1","true","real-logic/simple-binary-encoding","real-logic/simple-binary-encoding","","https://github.com/tfgm-bud/simple-binary-encoding.git","2015-08-03T19:58:38Z","1084","3","20","","8","1.8","1.8","","","7337ceb39cfdd96be261cb5d45fca4bf53678ad6","master"
"wrwg/grpc-java","true","0","0","1","true","grpc/grpc-java","grpc/grpc-java","","https://github.com/wrwg/grpc-java.git","2015-09-25T16:57:47Z","928","5","40","01.07.2001","8","1.6","1.6","","","d04994f04422784cfa4470aca964db18365da779",""
"jfallows/nuklei","true","1","0","0","true","tmontgomery/nuklei","tmontgomery/nuklei","","https://github.com/jfallows/nuklei.git","2017-06-15T22:25:21Z","449","3","9","1.12","8","1.8","1.8","","","b4e3bc56f61e9ad284cfc6c4fcc1cfe1229faf6a","develop"
"eonezhang/grpc-java","true","0","0","1","true","grpc/grpc-java","grpc/grpc-java","","https://github.com/eonezhang/grpc-java.git","2016-01-29T09:54:53Z","1111","3","46","01.07.2001","8","1.6","1.6","","","1856e39641ebac18146741a7ec0b4ae58251ab6d","master"
"moujian/grpc-java","true","0","0","1","true","grpc/grpc-java","grpc/grpc-java","","https://github.com/moujian/grpc-java.git","2015-08-03T05:04:22Z","672","3","30","01.07.2001","8","1.6","1.6","","","cc53c958b0046a0641506e7313d636ee3626d1e3","master"
"LuminateWireless/grpc-java","true","0","0","6","true","grpc/grpc-java","grpc/grpc-java","","https://github.com/LuminateWireless/grpc-java.git","2016-05-04T20:56:20Z","1335","2","55","01.11.2003","8","1.6","1.6","","","bc661e7fbba7ffcb204816269f71dd320ac15482","master"
"jpaw/fixedpoint","false","0","1","1","true","","jpaw/fixedpoint","true","https://github.com/jpaw/fixedpoint.git","2019-06-25T18:59:48Z","72","17","1","","8","","","1409522400","1561489165","bcf8026470ac2686c70b4e2092f7a9bfbdf52a2e","master"
"jpxiong/okio","true","0","0","1","true","longbai/okio","square/okio","","https://github.com/jpxiong/okio.git","2015-08-05T13:44:46Z","292","10","12","01.04.2001","8","1.6","1.6","","","2653807f52cbe4c72d8d99fae7b1dfc1d7bd7798","master"
"ConSol/parallel-streams-example","true","4","4","6","true","fstab/parallel-streams-example","fstab/parallel-streams-example","true","https://github.com/ConSol/parallel-streams-example.git","2017-09-03T22:12:29Z","9","0","1","0.9.6","8","1.8","1.8","1406844000","1407846728","a1d3219be77db78626f41bc73537e9418d0419d5","master"
"shashankasharma/commons-csv","true","0","0","3","true","apache/commons-csv","apache/commons-csv","","https://github.com/shashankasharma/commons-csv.git","2015-10-23T16:52:47Z","1049","10","17","01.05.2002","8","1.6","1.6","","","1a6ce1652a8af5cf597a067e2d03975563f68676","trunk"
"amluto/simple-binary-encoding","true","0","0","1","true","real-logic/simple-binary-encoding","real-logic/simple-binary-encoding","","https://github.com/amluto/simple-binary-encoding.git","2015-09-18T00:58:40Z","1096","5","21","","8","1.8","1.8","","","4484ae8b1093de64aabd47065ea6c3955287c5a4","master"
"mingfly/grpc-java","true","0","0","1","true","grpc/grpc-java","grpc/grpc-java","","https://github.com/git5hub43/grpc-java.git","2015-08-25T16:31:14Z","745","4","30","01.07.2001","8","1.6","1.6","","","777e9285368ce00cfeebaec17705806503a66fe4","master"
"holidayfun/inspectIT","true","0","0","1","true","NTDT-UniTuebingen/inspectIT","inspectIT/inspectIT","","https://github.com/holidayfun/inspectIT.git","2016-03-15T10:42:12Z","418","0","12","","8","","","","","dd21cc2ce2b07809784d394f3d3d283613d81754","master"
"NTDT-UniTuebingen/inspectIT","true","0","5","3","true","inspectIT/inspectIT","inspectIT/inspectIT","","https://github.com/NTDT-UniTuebingen/inspectIT.git","2016-01-11T21:29:42Z","450","0","12","","8","","","","","f71f1193b4ebaa168eed5d5b6cf6b4871237f564","master"
"kilink/okio","true","0","0","0","true","square/okio","square/okio","","https://github.com/kilink/okio.git","2015-09-29T02:01:55Z","352","14","15","01.04.2001","8","","","","","02481cc0cc84bc92e3eab6d5212a226496f56a7e","master"
"pvllnspk/commons-csv","true","0","0","1","true","apache/commons-csv","apache/commons-csv","","https://github.com/pvllnspk/commons-csv.git","2015-09-30T08:10:26Z","991","10","13","01.05.2002","8","1.6","1.6","","","1d5dfcb8f65e25e0bc5c38628138435c3c756b98","trunk"
"pbouillet/inspectIT","true","0","0","1","true","inspectIT/inspectIT","inspectIT/inspectIT","","https://github.com/pbouillet/inspectIT.git","2015-07-17T07:47:05Z","38","0","4","","8","","","","","f1a2fed481e1507ba309cc269cb27002551b8408","master"
"tejasmanohar/okio","true","0","0","1","true","square/okio","square/okio","","https://github.com/tejasmanohar/okio.git","2015-08-23T03:18:00Z","344","13","15","01.04.2001","8","","","","","b26a2a0051a80dc33c6d344e30faf94338ff945d","master"
"sunshinecoast/okio","true","0","0","1","true","square/okio","square/okio","","https://github.com/sunshinecoast/okio.git","2015-09-29T03:21:12Z","352","14","15","01.04.2001","8","","","","","02481cc0cc84bc92e3eab6d5212a226496f56a7e","master"
"nickethier/grpc-java","true","0","0","0","true","grpc/grpc-java","grpc/grpc-java","","https://github.com/nickethier/grpc-java.git","2015-08-21T02:44:28Z","728","4","30","01.07.2001","8","1.6","1.6","","","701bbe509f890a94aac2db365b667bd89db12be4","master"
"qix/druid","true","0","0","1","true","apache/incubator-druid","apache/incubator-druid","","https://github.com/qix/druid.git","2018-07-06T15:32:37Z","5713","365","68","01.09.2002","8","1.7","","","","3331987b10ddd77886fdf44b3d67a05ed585bf8c","master"
"UzumakiMansi/commons-csv","true","0","0","1","true","apache/commons-csv","apache/commons-csv","","https://github.com/UzumakiMansi/commons-csv.git","2015-10-23T08:27:00Z","1007","10","14","01.05.2002","8","1.6","1.6","","","0e9db13d47316cb19f6f8b031303620f338b7de6","trunk"
"767326791/druid","true","0","0","1","true","apache/incubator-druid","apache/incubator-druid","","https://github.com/767326791/druid.git","2018-07-06T15:32:37Z","5787","366","71","01.09.2002","8","1.7","","","","d89b0fa76a41700b2c988fd72aaa5c035c0712b8","master"
"saleyn/simple-binary-encoding","true","0","0","1","true","real-logic/simple-binary-encoding","real-logic/simple-binary-encoding","","https://github.com/saleyn/simple-binary-encoding.git","2018-07-17T11:20:13Z","980","1","18","","8","1.8","1.8","","","2e1b35dd0776bde0e84bfe9f9f14ff415b442984","master"
"andy32323/inspectIT","true","0","0","1","true","NTDT-UniTuebingen/inspectIT","inspectIT/inspectIT","","https://github.com/andy32323/inspectIT.git","2016-03-22T17:49:37Z","428","0","12","","8","","","","","3437fcfa8bfd4e375d21d6e5559d2c4feb9d7a47","master"
"RavinaDhruve/commons-csv","true","0","0","1","true","apache/commons-csv","apache/commons-csv","","https://github.com/RavinaDhruve/commons-csv.git","2015-10-22T00:52:55Z","997","10","13","01.05.2002","8","1.6","1.6","","","d031ce365488723645021aa5debbf7c4897efe9d","trunk"
"zhiqinghuang/druid","true","0","0","1","true","apache/incubator-druid","apache/incubator-druid","","https://github.com/zhiqinghuang/druid.git","2018-07-06T15:32:37Z","5836","367","71","01.09.2002","8","1.7","","","","bd605a097e917d0d525d17138f6457b99fd5e90d","master"
"juoni/okio","true","1","0","1","true","square/okio","square/okio","","https://github.com/juoni/okio.git","2019-08-13T16:02:11Z","287","10","11","01.04.2001","8","","","","","654ddf5e8f6311fda77e429c22d5e0e15f713b8d","master"
"GauriGNaik/commons-csv","true","0","0","3","true","apache/commons-csv","apache/commons-csv","","https://github.com/GauriGNaik/commons-csv.git","2015-09-27T16:55:31Z","995","10","14","01.05.2002","8","1.6","1.6","","","cbc10127240eecafaab5728eff0ae46a65f07deb","trunk"
"lcs777/simple-binary-encoding","true","0","0","1","true","real-logic/simple-binary-encoding","real-logic/simple-binary-encoding","","https://github.com/lcs777/simple-binary-encoding.git","2015-09-23T15:43:59Z","1104","0","21","","8","1.8","1.8","","","d57325184db691e404bfad648004a980a43fdf0a","master"
"geoaxis/apollo","false","","","","false","","","","","","","","","","","","","","","",""
"koushikan/grpc-java","true","0","0","1","true","grpc/grpc-java","grpc/grpc-java","","https://github.com/koushikan/grpc-java.git","2015-09-22T12:39:51Z","920","5","40","01.07.2001","8","1.6","1.6","","","9e690f8ddf3a05f0540a41e94e1562cb17fcdbf9","master"
"clemensgeibel/inspectIT","true","0","0","1","true","NTDT-UniTuebingen/inspectIT","inspectIT/inspectIT","","https://github.com/clemensgeibel/inspectIT.git","2016-03-29T14:21:30Z","448","0","12","","8","","","","","7d1f7cf9113044cded2ddb3bd6e65f777186d94a","master"
"mohanaraosv/commons-csv","true","0","0","1","true","apache/commons-csv","apache/commons-csv","","https://github.com/mohanaraosv/commons-csv.git","2015-09-04T19:12:48Z","991","10","13","01.05.2002","8","1.6","1.6","","","1d5dfcb8f65e25e0bc5c38628138435c3c756b98","trunk"
"vampiregod1996/grpc-java","true","1","0","0","true","grpc/grpc-java","grpc/grpc-java","","https://github.com/vampiregod1996/grpc-java.git","2019-08-18T16:48:56Z","637","3","29","01.07.2001","8","1.6","1.6","","","a36f4af1381756f5366dabb92b06f594e9b074a0","master"
"Henning-Schulz/inspectIT","true","0","0","1","true","inspectIT/inspectIT","inspectIT/inspectIT","","https://github.com/Henning-Schulz/inspectIT.git","2016-01-22T07:39:43Z","48","1","5","","8","","","","","f4b64deeeb14b419a00cf562fe82c38cf535a16c","master"
"Shedings/okio","true","0","0","1","true","square/okio","square/okio","","https://github.com/Shedings/okio.git","2015-08-15T02:34:15Z","344","13","15","01.04.2001","8","","","","","b26a2a0051a80dc33c6d344e30faf94338ff945d","master"
"palaniyappanBala/okio","true","0","0","1","true","square/okio","square/okio","","https://github.com/palaniyappanBala/okio.git","2015-08-11T13:16:34Z","340","13","14","01.04.2001","8","","","","","4c9c51b4a69110855aa95b3a8a7bf81e2dfe7b41","master"
"madongfly/grpc-java","true","0","0","1","true","grpc/grpc-java","grpc/grpc-java","","https://github.com/madongfly/grpc-java.git","2015-04-29T23:27:25Z","1070","0","43","01.07.2001","8","1.6","1.6","","","d948330ef28f1f5b57752d4af61abf812a00eba7","master"
"kevintvh/druid","true","0","0","1","true","apache/incubator-druid","apache/incubator-druid","","https://github.com/kevintvh/druid.git","2018-07-06T15:32:37Z","5817","367","71","01.09.2002","8","1.7","","","","e5532367e1c076e98b5b856b503469122febc31b","master"
"eamonnmcmanus/grpc-java","true","0","0","1","true","grpc/grpc-java","grpc/grpc-java","","https://github.com/eamonnmcmanus/grpc-java.git","2015-09-21T17:54:55Z","919","5","39","01.07.2001","8","1.6","1.6","","","75624bba24052a30dfe096ff78283054f76d75c0","master"
"smorin/simple-binary-encoding","true","0","0","1","true","real-logic/simple-binary-encoding","real-logic/simple-binary-encoding","","https://github.com/smorin/simple-binary-encoding.git","2015-09-17T06:21:35Z","1096","5","21","","8","1.8","1.8","","","4484ae8b1093de64aabd47065ea6c3955287c5a4","master"
"tempbottle/okio","true","0","0","1","true","square/okio","square/okio","","https://github.com/tempbottle/okio.git","2015-08-29T07:42:55Z","348","14","15","01.04.2001","8","","","","","4257ccbde53d04c8ef505d1affe4e83aa95cbeef","master"
"stanley-cheung/grpc-java","true","0","0","1","true","grpc/grpc-java","grpc/grpc-java","","https://github.com/stanley-cheung/grpc-java.git","2015-04-24T16:12:34Z","834","0","38","01.07.2001","8","1.6","1.6","","","609f31a5785d77940031e24e94d24f94f985448f","master"
"xubuhang/okio","true","0","0","1","true","square/okio","square/okio","","https://github.com/xubuhang/okio.git","2015-09-17T07:11:41Z","350","14","15","01.04.2001","8","","","","","313436764bf35794e158c6171e319fee868298df","master"
"v7lin/okio","true","0","0","1","true","square/okio","square/okio","","https://github.com/v7lin/okio.git","2015-09-26T02:12:21Z","352","14","15","01.04.2001","8","","","","","02481cc0cc84bc92e3eab6d5212a226496f56a7e","master"
"msdgwzhy6/okio","true","1","0","1","true","square/okio","square/okio","","https://github.com/msdgwzhy6/okio.git","2018-01-04T00:18:53Z","342","13","15","01.04.2001","8","","","","","0082f5b18deb3118f72662199650b58d8bdecc02","master"
"aglne/grpc-java","true","0","0","1","true","grpc/grpc-java","grpc/grpc-java","","https://github.com/aglne/grpc-java.git","2015-08-29T04:09:20Z","814","4","37","01.07.2001","8","1.6","1.6","","","d678498ca7ff3ceaa9110f8778055a12f5357c0a","master"
"winstar/grpc-java","true","0","0","0","true","grpc/grpc-java","grpc/grpc-java","","https://github.com/winstar/grpc-java.git","2015-08-22T09:18:19Z","732","4","30","01.07.2001","8","1.6","1.6","","","21f9b44d14d5233925cfb1ee4acd69d30c26f49c","master"
"ybv/grpc-java","true","0","0","1","true","grpc/grpc-java","grpc/grpc-java","","https://github.com/ybv/grpc-java.git","2015-09-01T04:51:04Z","822","4","37","01.07.2001","8","1.6","1.6","","","949b6d7da8686292833f87a991d39388eaaa6997","master"
"angcyo/okio","true","0","0","1","true","square/okio","square/okio","","https://github.com/angcyo/okio.git","2015-08-12T16:06:52Z","340","13","14","01.04.2001","8","","","","","4c9c51b4a69110855aa95b3a8a7bf81e2dfe7b41","master"
"chenrui2014/okio","true","0","0","0","true","square/okio","square/okio","","https://github.com/chenrui2014/okio.git","2015-08-20T04:25:58Z","344","13","15","01.04.2001","8","","","","","b26a2a0051a80dc33c6d344e30faf94338ff945d","master"
"Luccr1/inspectIT","true","0","0","2","true","inspectIT/inspectIT","inspectIT/inspectIT","","https://github.com/LuccaHellriegel/inspectIT.git","2019-01-08T21:48:38Z","62","5","6","","8","","","","","0c5ba4e70d3bbdfbd45bfea1c00717ced9d42cf1","master"
"pombredanne/druid","true","0","0","0","true","apache/incubator-druid","apache/incubator-druid","","https://github.com/pombredanne/druid.git","2018-07-06T15:32:31Z","5972","347","74","01.09.2002","8","1.7","","","","443b61c0ff47448b0ae714d42bac699b2e5728aa","master"
"tuacy/grpc-java","true","0","0","1","true","grpc/grpc-java","grpc/grpc-java","","https://github.com/tuacy/grpc-java.git","2015-08-20T08:00:55Z","721","4","30","01.07.2001","8","1.6","1.6","","","b83742d61c1710fb084feb1977256279949c25f9","master"
"patrickpilch/Flyweight-Test","false","","","","false","","","","","","","","","","","","","","","",""
"joshuabezaleel/grpc-java","true","0","0","1","true","grpc/grpc-java","grpc/grpc-java","","https://github.com/joshuabezaleel/grpc-java.git","2015-09-29T03:00:00Z","934","5","40","01.07.2001","8","1.6","1.6","","","2a98c2eee98fbbb04501dee9713f2dc6f02d1c83","master"
"longbai/okio","true","0","1","1","true","square/okio","square/okio","","https://github.com/longbai/okio.git","2015-02-25T10:17:14Z","292","10","12","01.04.2001","8","1.6","1.6","","","2653807f52cbe4c72d8d99fae7b1dfc1d7bd7798","master"
"victor-cr/threadlocal-benchmark","false","1","0","0","true","","victor-cr/threadlocal-benchmark","true","https://github.com/victor-cr/threadlocal-benchmark.git","2018-12-21T02:23:00Z","28","0","1","01.01.2001","18","","","1409522400","1413226498","876ac993bd0e0b646ae58600d8ef932d9e854acc","master"
"DiceHoldingsInc/orientdb","false","","","","false","","","","","","","","","","","","","","","",""
"lucwillems/JavaLinuxNet","false","19","8","3","true","","lucwillems/JavaLinuxNet","true","https://github.com/lucwillems/JavaLinuxNet.git","2019-08-01T10:13:54Z","270","3","2","1.2","8","","","1417388400","1546501799","903b9b542a6bfbc887985a3e404190241c5792ef","master"
"marschall/line-parser","false","4","0","1","true","","marschall/line-parser","true","https://github.com/marschall/line-parser.git","2019-01-13T15:37:54Z","111","7","1","1.21","8","","","1504216800","1547393862","2221d568d85977fc69efd38b675e372800ad7ed5","master"
"vongosling/jvm-serializer","false","17","14","5","true","","vongosling/jvm-serializer","true","https://github.com/vongosling/jvm-serializer.git","2019-08-01T15:52:28Z","28","0","1","1.13","5","1.8","1.8","1477954800","1478591309","86ece6ecca0a475c13dfded5a2fe01cc9e19e124","master"
"fbaro/jpack","false","0","0","1","true","","fbaro/jpack","true","https://github.com/fbaro/jpack.git","2015-03-31T20:31:33Z","28","0","1","","3","","1.7","1422745200","1427833845","767f8147756377b9c5cb35a287fb0d27b9e798ae","master"
"maxifier/mxcache","false","2","4","14","true","","maxifier/mxcache","true","https://github.com/maxifier/mxcache.git","2019-05-14T10:17:56Z","342","29","8","1.21","8","","","1556661600","1557829070","6e29c3a49b7226a8d8156450f18b94b37d1945ee","master"
"pdemanget/examples","false","0","0","1","true","","pdemanget/examples","true","https://github.com/pdemanget/examples.git","2019-03-29T15:55:31Z","28","0","1","1.12","2","1.8","1.8","1464732000","1553874923","a28bf25ca5e14a56c91bb481dec3fa56a97d6794","master"
"spriet2000/vertx-http-router","false","7","1","1","true","","spriet2000/vertx-http-router","true","https://github.com/spriet2000/vertx-http-router.git","2019-02-12T13:23:36Z","28","0","1","01.11.2002","2","1.8","1.8","1454281200","1488144462","b54cfd48297b321d0c7aa3656c67a370f43eba57","master"
"OpenFeign/feign","false","4804","978","404","true","","OpenFeign/feign","true","https://github.com/OpenFeign/feign.git","2019-08-20T15:39:15Z","731","105","137","1.2","8","1.8","1.8","1430431200","1565617333","9a4b21bc0e21349687fbba3ee72154f440630af2","master"
"pinterest/jbender","false","141","37","22","true","","pinterest/jbender","true","https://github.com/pinterest/jbender.git","2019-07-09T09:07:48Z","28","0","5","","1","1.8","1.8","1446261699","1470262235","d0aa989be2d0d15233c78201a0c501cbb3bf5aaf","master"
"promeG/TinyPinyin","false","2323","286","62","true","","promeG/TinyPinyin","true","https://github.com/promeG/TinyPinyin.git","2019-08-20T15:04:00Z","22","2","2","01.03.2003","8","1.6","1.6","1443650400","1490255444","85e3b9bc9422863bd6cc60254daf18cbdab410a0","master"
"protobufel/multikeymapjava","false","2","0","1","true","","protobufel/multikeymapjava","true","https://github.com/protobufel/multikeymapjava.git","2019-01-15T13:39:36Z","113","11","1","1.19","8","1.8","1.8","1498860000","1511482109","d30c6a1edad5bdd270671829360e1f044882c27b","master"
"nicoulaj/jmh-utils","false","7","2","1","true","","nicoulaj/jmh-utils","true","https://github.com/nicoulaj/jmh-utils.git","2019-08-13T15:44:57Z","27","0","3","1.21","7","","","1404165600","1538229457","6a0321010bb59d9f2f908c531ae972d6fb562a48","master"
"jasobrown/barker","false","0","0","1","true","","jasobrown/barker","true","https://github.com/jasobrown/barker.git","2019-04-09T02:45:39Z","26","0","1","1.21","94","1.7","","1409522400","1554777929","a24b2b680455340f2001b38b8d1fcd8926736d73","master"
"snazy/ohc","false","433","72","45","true","","snazy/ohc","true","https://github.com/snazy/ohc.git","2019-08-20T15:27:07Z","408","22","4","1.21","8","1.8","1.8","1422745200","1561469840","0788d6ab5558859b6dd048214566daa04e9fc2d3","develop"
"ssaarela/javersion","false","39","4","4","true","","ssaarela/javersion","true","https://github.com/ssaarela/javersion.git","2019-08-14T19:10:43Z","634","13","1","01.11.2003","8","1.8","1.7","1448924400","1499845060","f4145880a7b350c65608dc9b10d40b6d8daa2e29","master"
"blemale/fuse","false","0","0","0","true","","blemale/fuse","true","https://github.com/blemale/fuse.git","2019-08-13T16:36:50Z","25","0","1","","1","","","1471608921","1471608921","8fdc995357d0a1666702ff7a2aa0815b75cc6e93","master"
"TridentSDK/Trident","false","58","23","15","true","","TridentSDK/Trident","true","https://github.com/TridentSDK/Trident.git","2019-07-17T07:10:10Z","1179","1","13","0.9","8","1.8","1.8","1409522400","1503856270","54a44513c60e116b37c84194e2ef9bbc77dfd291","revamp"
"sormuras/treasure","false","0","0","1","true","","sormuras/treasure","true","https://github.com/sormuras/treasure.git","2016-02-09T09:59:44Z","24","0","1","","16","","","1456786800","1467958662","4f5a98980d360aebc7371546989405744150539a","master"
"ruslan-sverchkov/aho-corasick","false","0","0","1","true","","ruslan-sverchkov/aho-corasick","true","https://github.com/ruslan-sverchkov/aho-corasick.git","2016-08-06T17:27:15Z","24","0","1","1.13","10","","","1471171304","1471171304","cdf3c91a4a33f97d3eb0744472f27a893121ab38","master"
"apache/incubator-gobblin","false","1584","611","170","true","","apache/incubator-gobblin","true","https://github.com/apache/incubator-gobblin.git","2019-08-20T05:49:31Z","5240","19","72","1.17.3","7","","","1488322800","1566410772","bd4a09ab77a4447490b25e31bc98cafbda9f2847","master"
"svendiedrichsen/eclipselink.runtime","false","","","","false","","","","","","","","","","","","","","","",""
"tasomaniac/caffeine","true","0","0","2","true","ben-manes/caffeine","ben-manes/caffeine","","https://github.com/tasomaniac/caffeine.git","2018-02-09T19:08:03Z","507","2","3","1.8","44","","1.8","","","610ea88a113211c84ad073e31ef4f5fd0515bc5b","master"
"PacktPublishing/Mastering-Mesos","false","9","6","2","true","","PacktPublishing/Mastering-Mesos","true","https://github.com/PacktPublishing/Mastering-Mesos.git","2018-07-06T12:53:48Z","24","0","3","01.11.2003","9","1.7","1.7","1464732000","1465875450","74e9bc022006a4eddd34722c56ddbcdf760c9e2f","master"
"immutables/samples","false","6","2","7","true","","immutables/samples","true","https://github.com/immutables/samples.git","2016-12-19T06:27:44Z","24","0","1","01.10.2003","8","1.8","1.8","1420066800","1496552554","6e1022e951735bda855fdd17ad03de0bc891a9bf","master"
"ceki/logback-perf","false","2","0","2","true","","ceki/logback-perf","true","https://github.com/ceki/logback-perf.git","2019-04-10T06:43:36Z","24","0","1","01.11.2003","7","1.7","","1459461600","1486720860","7fc13c0d91930d5509b4000f11fcd15d9fc1d120","master"
"d0k1/jitloganalyzer","false","0","0","1","true","","d0k1/jitloganalyzer","true","https://github.com/d0k1/jitloganalyzer.git","2016-11-07T19:55:15Z","24","0","1","1.17.1","7","1.8","","1481910925","1481910925","c5888ddaae169a3e879429c62f218e743a7c06dc","master"
