"project","forked","stars","forks","watchers","repoAvailable","parentProject","rootProject","mainRepo","cloneUrl","lastUpdate","numberOfCommits","numberOfTags","numberOfContributors","jmhVersion","numberOfBenchmarks","javaTarget","javaSource","firstBenchmarkFound","lastCommit","lastCommitHash","defaultBranch"
"jbripley/RxJava","true","0","0","1","true","ReactiveX/RxJava","ReactiveX/RxJava","","https://github.com/jbripley/RxJava.git","2014-07-05T19:54:43Z","8100","81","91","","106","","","","","4b58a872a2f6e87a7b081837384c7ab7b06861d9","1.x"
"hyarlagadda/RxJava","true","0","0","1","true","ReactiveX/RxJava","ReactiveX/RxJava","","https://github.com/hyarlagadda/RxJava.git","2015-07-19T18:01:17Z","4049","126","91","","103","","","","","085597215ba960c98a5085020a16e01b0ccc85de","1.x"
"tools4j/decimal4j","false","68","10","11","true","","tools4j/decimal4j","true","https://github.com/tools4j/decimal4j.git","2019-08-09T18:19:47Z","376","2","2","","102","","1.7","1414796400","1534510473","85329c39e686daa6b894996cdddf9f5182691423","master"
"mono-plane/presto","false","0","0","1","true","","mono-plane/presto","true","https://github.com/mono-plane/presto.git","2015-03-23T07:57:11Z","4562","0","53","0.7.1","5","","","1409522400","1427097413","bf1b87edd78e41a906d915feb0968b36fb79711f","patched-version"
"hehonghui/RxJava","true","0","2","1","true","ReactiveX/RxJava","ReactiveX/RxJava","","https://github.com/hehonghui/RxJava.git","2015-02-14T15:26:24Z","3898","122","88","","100","","","","","bc1ed77ad777c068fe7d2731a1067c7127a4af20","1.x"
"maliqq/netty","true","0","0","1","true","netty/netty","netty/netty","","https://github.com/maliqq/netty.git","2016-12-15T23:56:24Z","7827","158","234","1.14.1","100","1.7","1.7","","","d39af912cd147c5655c9215a304a7687ee5c661a","4.1"
"azadmanesh/sl-tracer","false","0","0","0","true","","azadmanesh/sl-tracer","true","https://github.com/azadmanesh/sl-tracer.git","2016-09-05T17:35:35Z","3070","0","29","","11","","","1462053600","1476953484","7b39a4d0e470ea8859cd94b5b0ed5dd35c583560","sl-tracer"
"luyiisme/netty","true","0","0","1","true","netty/netty","netty/netty","","https://github.com/luyiisme/netty.git","2016-06-29T09:23:24Z","7486","147","205","1.12","95","1.7","1.7","","","c6de9cda926e41d8310a4ae1d729efe8800d9ad3","4.1"
"Techcable/netty","true","0","0","1","true","netty/netty","netty/netty","","https://github.com/Techcable/netty.git","2016-07-13T18:57:56Z","7524","129","207","1.12","95","1.7","1.7","","","9de90d07a973ed2b1a2d8f8c6547f7466a75539a","4.1"
"gh351135612/presto","true","1","1","2","true","prestodb/presto","prestodb/presto","","https://github.com/ITGrocery/presto-with-oracle.git","2018-04-16T07:37:34Z","11967","190","194","","94","","","","","ae2c68a115b83fe98a5df995da4855f01d23affc","chenxl"
"mono-plane/airlift","false","0","0","1","true","","mono-plane/airlift","true","https://github.com/mono-plane/airlift.git","2015-03-23T07:56:05Z","1669","0","16","0.3","0","","","","1427097356","","patched_version"
"kennyledet/Algorithm-Implementations","false","2061","496","164","true","","kennyledet/Algorithm-Implementations","true","https://github.com/kennyledet/Algorithm-Implementations.git","2019-08-16T07:49:04Z","1639","0","97","","2","","","1485903600","1563465007","4a3ad1e01ea8c1d629445f6f2e0f8d6724a5d61b","master"
"yrcourage/netty","true","11","2","2","true","netty/netty","netty/netty","","https://github.com/yrcourage/netty.git","2019-06-27T07:30:47Z","7414","145","200","1.12","93","1.7","1.7","","","5ff9fd3d886659e745e1a4e0aa910a2e57bcb1bf","4.1"
"Scottmitch/netty","true","0","4","1","true","netty/netty","netty/netty","","https://github.com/Scottmitch/netty.git","2016-02-08T18:45:50Z","7469","96","204","1.12","93","1.7","1.7","","","f52b07dedee99c0d0cf08a3b6732d56290185825","master"
"sparkoo/Java-Grande-JMH","false","2","0","1","true","","sparkoo/Java-Grande-JMH","true","https://github.com/sparkoo/Java-Grande-JMH.git","2019-02-10T12:05:38Z","60","1","1","1.19","93","1.7","","1493589600","1523614210","c5dc953c6beb8e7cc52e11ae22529cc1a1b430da","devel"
"JCTools/JCTools","false","2012","296","188","true","","JCTools/JCTools","true","https://github.com/JCTools/JCTools.git","2019-08-20T05:58:58Z","829","11","29","1.21","92","","","1404165600","1564071944","19cbaae4501c310ce3afb1a7443187e244888310","master"
"traneio/future","false","209","14","17","true","","traneio/future","true","https://github.com/traneio/future.git","2019-08-17T02:29:39Z","341","18","1","1.17.4","90","1.8","1.8","1484374570","1538461682","8368a841d623c0896db6297767208a6c42b58f27","master"
"smayoorans/netty","true","0","0","1","true","netty/netty","netty/netty","","https://github.com/smayoorans/netty.git","2015-01-14T08:17:54Z","7085","112","173","01.11.2001","87","1.7","1.7","","","588169581d62e8f2ca4c9568ea662bff17595061","master"
"lukehutch/netty","true","0","0","1","true","netty/netty","netty/netty","","https://github.com/lukehutch/netty.git","2015-11-26T01:51:37Z","7058","134","173","01.11.2001","87","1.7","1.7","","","df4d41c70f05eb8127da4d2e46d7a46a012dd55d","master"
"roboxue/librepsheet-java","false","","","","false","","","","","","","","","","","","","","","",""
"mosoft521/netty","true","0","0","1","true","netty/netty","netty/netty","","https://github.com/mosoft521/netty.git","2015-05-02T01:25:37Z","7093","98","173","01.11.2001","87","1.7","1.7","","","5949aebe82bf62a26c91363dc5d8cbc3603ce293","master"
"joansmith/netty","true","0","0","1","true","netty/netty","netty/netty","","https://github.com/joansmith/netty.git","2016-02-08T16:52:38Z","7121","0","184","01.11.2001","86","1.7","1.7","","","a15ff32608f000b5b01ab00262f8b2df34b2d08c","4.1"
"svstanev/presto","true","0","0","1","true","prestodb/presto","prestodb/presto","","https://github.com/svstanev/presto.git","2016-03-18T00:24:51Z","10542","154","167","","86","","","","","2da3490a64c6daefc8f1d92d8ff18cba4d07aaa0","master"
"windie/netty","true","0","0","1","true","netty/netty","netty/netty","","https://github.com/windie/netty.git","2016-02-13T03:31:55Z","7144","134","186","01.11.2001","86","1.7","1.7","","","ca443e42e03b6053676c239e5afb28fedcdb7aad","4.1"
"kjniemi/netty","true","0","0","1","true","netty/netty","netty/netty","","https://github.com/kjniemi/netty.git","2015-09-22T20:49:35Z","7049","129","170","01.11.2001","84","1.7","1.7","","","d61cae265ae3997548dc162ce7406879df724955","master"
"takari/presto","true","0","1","14","true","prestodb/presto","prestodb/presto","","https://github.com/walmartlabs/presto.git","2019-05-14T19:15:28Z","9739","95","151","","82","","","","","36b40f912ddc1c40505679c91a3b128dcd3338e4","master"
"mrijke/druid","true","0","0","1","true","apache/incubator-druid","apache/incubator-druid","","https://github.com/mrijke/druid.git","2018-07-06T15:32:30Z","7464","339","131","01.09.2002","81","1.7","1.8","","","ddc856214d0b1876759fe6eed71543f5156f6a64","master"
"bogdandrutu/instrumentation-java","true","0","1","2","true","census-instrumentation/opencensus-java","census-instrumentation/opencensus-java","","https://github.com/bogdandrutu/opencensus-java.git","2019-08-09T17:09:33Z","2243","3","40","1.2","81","1.7","1.7","","","726168433b51e4ce2f801f59bae7c3803bf42468","master"
"songy23/instrumentation-java","true","0","0","1","true","census-instrumentation/opencensus-java","census-instrumentation/opencensus-java","","https://github.com/songy23/instrumentation-java.git","2019-06-19T21:47:42Z","2234","4","39","1.2","81","1.7","1.7","","","b04ec360d0663f3d54e109497e85f333d1592665","master"
"census-instrumentation/opencensus-java","false","574","150","75","true","","census-instrumentation/opencensus-java","true","https://github.com/census-instrumentation/opencensus-java.git","2019-08-20T07:22:06Z","2243","41","40","1.2","81","1.7","1.7","1490997600","1565032231","726168433b51e4ce2f801f59bae7c3803bf42468","master"
"benjchristensen/RxJava","true","6","3","10","true","ReactiveX/RxJava","ReactiveX/RxJava","","https://github.com/benjchristensen/RxJava.git","2018-07-31T08:56:51Z","4960","110","123","1.16","80","1.6","1.6","","","014aa16149845be49292fcbcbd0ea3418cc282a6","2.x"
