project;commit;benchmark;params;meanDefault;meanCov;meanCi;meanKld;ciPercentageDefault;ciPercentageCov;ciPercentageCi;ciPercentageKld;effectSizeCov;effectSizeCi;effectSizeKld;wilcoxonCov;wilcoxonCi;wilcoxonKld;ratioMeanCov;ratioLowerCov;ratioUpperCov;ratioMeanCi;ratioLowerCi;ratioUpperCi;ratioMeanKld;ratioLowerKld;ratioUpperKld
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.unalignedPrimitiveArgs;limit=1;3.414868910540306E-6;3.303646774370817E-6;3.3880103615520315E-6;3.3254676940011084E-6;0.07221522509592578;0.15759158156925182;0.08961223100760024;0.06336921285349127;0.020288574037131753;0.0030660019519076205;0.01113990364625309;0.017991143094525795;0.7209015556476854;0.19332856430806378;0.9731073;0.9469901;0.9804977;0.9999333;0.993138;1.003371;1.013027;1.008021;1.017499
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.tenMixedArgs;limit=10000;2.725421980858168E-6;2.536623985279794E-6;2.741599463231344E-6;2.6378749192680177E-6;0.18014996119150387;0.14375890391961582;0.19634100152782144;0.09687490054572931;0.044041491938032855;0.002172207320961044;0.02016319711932797;2.0704146803394165E-7;0.7974495820990315;0.017321451260408422;0.9020228;0.8507077;0.911845;1.000526;0.9902569;1.019244;0.9425066;0.9168866;0.9756161
jctools;;org.jctools.jmh.throughput.MpqThroughputBackoffNone.pr;qCapacity=132000&qType=SpmcArrayQueue;1.3254300860172045E-7;1.3236204481792837E-7;1.314741948389682E-7;1.2963294306014285E-7;0.056471119983427166;0.08971495996221804;0.07890168010681234;0.09570215008041993;0.006520851989525556;0.007804211372380497;0.013359736931386632;0.42458142206691374;0.3392251860033427;0.10188629373221991;0.9757262;0.9449393;0.9892901;0.991795;0.9909442;0.9930967;0.9881653;0.976572;0.9952
jctools;;org.jctools.jmh.collections.ConcurrentSetThroughput.rw;implementation=ConcurrentHashSet&readRatio=75&tableSize=100000;1.9539040752978912E-7;2.2420134228187944E-7;1.8887283641820927E-7;1.9399759759759782E-7;0.11612917099525319;0.31524233929469087;0.036357633757079025;0.03167647530331857;0.18184148257805768;0.04329574419732145;0.025520644305064052;1.0391851188128111E-109;1.157365429473778E-7;0.0017856097808659887;1.19543;1.00036;1.278191;0.9513598;0.8621437;0.9984353;0.9679886;0.8834003;1.013337
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArgBaseline;limit=1;3.7670234046811105E-8;3.8544754475448864E-8;3.854801920768453E-8;3.852750000000152E-8;0.046625901373400065;0.0015161715889058186;0.002044227961510559;0.0017463318077155729;0.4431197770707257;0.44065591829850564;0.4325807480748075;0.0;0.0;0.0;1.018879;0.9986779;1.044476;1.018082;0.9973197;1.044384;1.018313;0.9972157;1.044666
jctools;;org.jctools.jmh.throughput.MpqDrainFillThroughputBackoffNone.normal;qCapacity=132000&qType=MpmcArrayQueue;7.471348494554697E-8;5.906673943552281E-8;1.252455521472325E-7;6.233475200523866E-8;0.5311175246407501;0.23928656999878223;0.6825171170586498;0.27487255882403333;0.25172940075177613;0.15316593500312448;0.22176026537398966;8.392267331282696E-133;9.638283762072071E-51;3.511510773162622E-101;0.7211032;0.6860833;0.8518753;1.570017;1.230587;1.819793;0.7630221;0.6872136;0.9168832
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgs;limit=1;2.54964076165172E-6;2.5486464039189396E-6;2.5863046021410438E-6;2.530054863120402E-6;0.10469237145252293;0.13366450662438295;0.10927586121306705;0.11913639270138604;0.005950077455426247;0.0039951855642482124;0.004565171870288283;0.48918695527090883;0.6416481180019784;0.5953914787776307;0.9737127;0.9656837;0.9887098;1.029376;1.024434;1.034493;0.9933198;0.9852656;1.019303
jctools;;org.jctools.jmh.throughput.QueueThroughputBackoffNone.tpt;qCapacity=132000&qType=MpmcArrayQueue;1.8269884942471203E-7;1.9175983188231768E-7;1.6947619047619118E-7;1.7778700000000032E-7;0.6712305320730496;0.7059354479640811;0.9668136336285728;0.9014612713373176;0.026547387573502553;0.05242019769388496;0.049863975590236094;0.0011527489412599872;1.375950549080888E-10;1.0196644288765285E-9;1.288099;1.020804;1.581407;1.023932;0.8646576;1.079881;1.012793;0.6552532;1.106923
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=1000&qType=SpmcArrayQueue;1.2306743999999999E-5;1.236238399999998E-5;1.2221860799999997E-5;1.2287350399999986E-5;0.02925920027561014;0.039296606036785434;0.02827415888794634;0.038910562809721154;2.09E-6;0.07897923;0.01154599;0.9997957692579595;3.9385197312924933E-22;0.15734609113170783;1.006776;0.994132;1.009404;0.9948601;0.9906391;0.9965535;1.005015;0.9966058;1.009179
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.onePrimitiveArgBaseline;limit=128000;3.881570785392749E-8;3.920222022202223E-8;3.9194319431943154E-8;3.88110000000007E-8;0.03358908600777697;0.016496981581371688;0.01711474041551079;0.02978754759574353;0.21721184624715598;0.22156911038777716;0.002090248049609922;7.111380004193825E-156;4.1507348760215887E-162;0.7979640752827308;1.009484;1.004881;1.020714;1.016826;1.008813;1.022111;1.003541;1.001935;1.004514
jctools;;org.jctools.jmh.collections.ConcurrentSetThroughput.rw;implementation=NonBlockingHashSet&readRatio=75&tableSize=100000;1.64520104020804E-7;1.661574416975276E-7;1.650223200880802E-7;1.6548363854698303E-7;0.03239363506283358;0.029711061059464847;0.05226266638321645;0.03187448868737815;0.01843581607924027;0.0016729199107762699;0.01397009716344304;0.02399311302827613;0.8377061039989451;0.08717163006430295;1.004346;1.000286;1.005449;0.990384;0.983787;0.9939158;0.9918328;0.9909584;0.9922356
jctools;;org.jctools.jmh.latency.MpqBurstCost.burstCost;burstSize=100&consumerCount=1&qType=SpmcArrayQueue;2.523355071014211E-6;2.509257199999987E-6;2.542097800000007E-6;2.502908472541772E-6;0.02598455846386914;0.03867624398265563;0.02722390360839229;0.03654633429083564;0.05279611922384477;0.026229595919183838;0.08473478043413024;1.0083586616271099E-10;0.0013171560091712678;3.1616063409460227E-25;0.9884015;0.9785081;0.9943122;1.005093;1.001596;1.006503;0.9892767;0.9880543;0.9927789
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.onePrimitiveArgBaseline;limit=1;3.6955395539556645E-8;3.753390000000194E-8;3.696009201840625E-8;3.69398939894015E-8;0.044972848147106614;0.04253676549837982;0.04310882956324215;0.03702310726637425;0.28516253625362536;0.0038467839582517964;0.005595579557955796;3.2834709991401508E-267;0.6375794816936755;0.49316632245707703;1.001738;0.9957789;1.007368;0.9922229;0.9907123;0.9989792;0.9946969;0.9911553;0.9992745
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.twoMixedLengthPrimitiveArgs;limit=128000;7.488855974044373E-8;6.848430001371314E-8;7.19222238020768E-8;7.371989752348536E-8;0.11086501488248078;0.22797160444695885;0.17267875014672013;0.2112588254842953;0.09534745954053414;0.025525555250215232;0.020884072660358705;4.11049628284468E-23;0.008617951555746354;0.0315603614049979;0.9508221;0.9072994;1.035607;0.9359472;0.9135276;0.9585138;1.027985;0.9825019;1.095921
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.alignedPrimitiveArgs;limit=128000;2.478471376370297E-7;2.312250509165008E-7;2.377074040126296E-7;2.443305583756372E-7;0.11310671808088678;0.09904013395571548;0.14438228691204658;0.12921131187909257;0.041927171837698965;0.017123713059399904;0.0045857717356195754;3.5320206408950765E-7;0.03754011573891778;0.5773718153424674;0.9730576;0.9682216;0.9879022;1.015816;0.9983477;1.02455;1.054023;1.03506;1.070708
jctools;;org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost;burstSize=100&qType=MpscArrayQueue;5.770314800000024E-6;5.652045400000009E-6;5.713425000000031E-6;5.666435643564338E-6;0.06031872092039001;0.022455310950376187;0.059080290648742796;0.05828707060546397;0.09551721;0.05482659;0.08088527852785278;1.3029483856655893E-31;1.8846564857996E-11;3.924691435296772E-23;0.9828844;0.9744885;1.005805;1.003903;1.001431;1.0076;0.9813427;0.9777576;0.9893487
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.noArgsBaseline;limit=1;3.701650330066241E-8;3.702550510102258E-8;3.7164216421643416E-8;3.69849969994022E-8;0.05035092570290445;0.04801144889019389;0.002212094108580727;0.04757505598996;0.002173979504842757;0.050225116530456804;0.012437727545509102;0.7900668998887995;7.715133122961346E-10;0.12771116608346966;0.9945589;0.9903028;0.9991702;1.000228;0.9790562;1.026589;0.9936302;0.9886154;0.9986724
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline;limit=1;3.907740000000021E-8;3.9419999999999714E-8;3.9458599999999425E-8;3.9097200000000146E-8;0.045995450515655935;0.026543435207975846;0.024794023115641342;0.03982137810475099;0.18850965;0.20212728;0.026598679867986797;6.248083432393184E-118;2.7513481183784868E-135;0.0011239953028963252;1.009733;1.003442;1.021755;1.0226;1.006233;1.028911;1.009638;1.005066;1.011454
jctools;;org.jctools.channels.mpsc.MpscProxyChannelBenchmark.onePrimitiveArg;limit=1;2.484595884315906E-6;2.5327059413666295E-6;2.442964031180407E-6;2.474417264573987E-6;0.10726564568582721;0.09367182806351045;0.09300696635190957;0.08945400822043298;0.015945496854343044;0.011779098775922765;0.0034038597357068097;0.06422156547962891;0.17149107777632755;0.6934708404685457;1.071106;1.06954;1.07161;1.017802;1.016173;1.019231;1.063802;1.053997;1.072712
jctools;;org.jctools.channels.spsc.SpscProxyChannelBenchmark.onePrimitiveArg;limit=128000;6.944621406397778E-8;7.116158578263988E-8;7.052106491011515E-8;7.394629734313336E-8;0.11525181600084529;0.2329306166548942;0.18526034238018568;0.27588211624534514;0.05087007387054982;0.026196520897451264;0.06556128844718617;9.020473891585052E-8;0.005958215333316244;8.775938200546631E-12;1.065938;0.9877096;1.158427;1.004005;0.9778379;1.038371;1.086764;0.9460968;1.195354
