project;commit;benchmark;params;percentage;cov;ci;divergence
;;io.reactivex.FlattenCrossMapPerf.observable;times=1;0.702516424;0.022841564;0.001933595;1
;;io.reactivex.FlattenCrossMapPerf.observable;times=10;0.712596808;0.014600145;0.001790255;1
;;io.reactivex.FlattenCrossMapPerf.observable;times=100;0.807896975;0.015265654;0.001702141;0.999534949
;;io.reactivex.FlattenCrossMapPerf.observable;times=1000;0.884726326;0.026992033;0.012539925;0.9911215
;;io.reactivex.FlattenCrossMapPerf.observable;times=10000;0.903274601;0.03813277;0.006749339;0.992385861
;;io.reactivex.FlattenCrossMapPerf.observable;times=100000;0.828238592;0.021758964;0.001955123;1
;;io.reactivex.FlattenCrossMapPerf.observable;times=1000000;0.97214185;0.007727362;8.03E-04;0.998961803
;;io.reactivex.FlattenJustPerf.flowable;times=1;0.985900712;0.125228832;0.010555294;0.999954697
;;io.reactivex.FlattenJustPerf.flowable;times=10;0.941661892;0.167756027;0.014998313;0.998939098
;;io.reactivex.FlattenJustPerf.flowable;times=100;0.959213432;0.222026756;0.019421224;0.999457357
;;io.reactivex.FlattenJustPerf.flowable;times=1000;0.988589206;0.10686583;0.01077849;0.999326138
;;io.reactivex.FlattenJustPerf.flowable;times=10000;0.985925192;0.050882495;0.007656451;0.998975087
;;io.reactivex.FlattenJustPerf.flowable;times=100000;0.999852617;0.09968329;0.009969161;0.99712901
;;io.reactivex.FlattenJustPerf.flowable;times=1000000;0.889551908;0.066151753;0.018500556;0.998788225
;;io.reactivex.FlattenJustPerf.observable;times=1;0.997253048;0.180061596;0.015128211;0.998328534
;;io.reactivex.FlattenJustPerf.observable;times=10;0.957328384;0.091313193;0.006657374;0.999203873
;;io.reactivex.FlattenJustPerf.observable;times=100;0.975185139;0.096870516;0.009625121;0.998636348
;;io.reactivex.FlattenJustPerf.observable;times=1000;0.99631172;0.107843727;0.007861192;0.997285673
;;io.reactivex.FlattenJustPerf.observable;times=10000;1.029223383;0.031538803;0.002408313;0.998924762
;;io.reactivex.FlattenJustPerf.observable;times=100000;1.01629584;0.008899945;7.45E-04;0.999870717
;;io.reactivex.FlattenJustPerf.observable;times=1000000;0.852232226;0.016334105;0.001799505;0.99773201
;;io.reactivex.FlattenRangePerf.flowable;times=1;0.862724645;0.121458955;0.008069233;0.999464947
;;io.reactivex.FlattenRangePerf.flowable;times=10;0.98122315;0.079412358;0.007131386;0.998863857
;;io.reactivex.FlattenRangePerf.flowable;times=100;0.990005197;0.097956239;0.008529819;0.999049145
;;io.reactivex.FlattenRangePerf.flowable;times=1000;0.995546876;0.06161916;0.009063425;0.998873789
;;io.reactivex.FlattenRangePerf.flowable;times=10000;0.989415417;0.212262167;0.018353457;0.999419872
;;io.reactivex.FlattenRangePerf.flowable;times=100000;0.992613426;0.08369786;0.009713938;0.573268334
;;io.reactivex.FlattenRangePerf.flowable;times=1000000;0.898263217;0.041700376;0.008645551;0.999309957
;;io.reactivex.FlattenRangePerf.observable;times=1;0.994480894;0.135732995;0.011469802;0.999452602
;;io.reactivex.FlattenRangePerf.observable;times=10;0.991969515;0.0831856;0.008418398;0.99837627
;;io.reactivex.FlattenRangePerf.observable;times=100;0.996002248;0.086646976;0.006395462;0.996225824
;;io.reactivex.FlattenRangePerf.observable;times=1000;1.009308565;0.072191121;0.009133405;0.495025306
;;io.reactivex.FlattenRangePerf.observable;times=10000;0.999538681;0.02064023;0.001783918;1
;;io.reactivex.FlattenRangePerf.observable;times=100000;0.959998926;0.009697532;8.33E-04;0.934539867
;;io.reactivex.FlattenRangePerf.observable;times=1000000;0.92928167;0.055805124;0.037699745;0.973845736
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=1,work=1;0.94070234;0.360555379;0.079859856;0.988172285
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=1,work=10;1.035576173;0.314896932;0.04893569;0.995973644
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=1,work=100;0.923413923;0.312231655;0.029751988;0.998408334
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=1,work=1000;0.956768195;0.378840504;0.110746347;0.996418912
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=128,work=1;1.015619823;0.289441358;0.030954373;0.998814807
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=128,work=10;0.98222264;0.384699846;0.083211192;0.994404885
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=128,work=100;1.006231391;0.345799842;0.056292337;0.991188919
