project;commit;benchmark;params;i96Cov;i97Cov;i98Cov;i99Cov;i100Cov;maxDeltaCov;i96Ci;i97Ci;i98Ci;i99Ci;i100Ci;maxDeltaCi;maxCi;i96Divergence;i97Divergence;i98Divergence;i99Divergence;i100Divergence;averageDivergence
log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.get;count=50&threadContextMapAlias=CopyOpenHash;0.125760719;0.125440715;0.124859754;0.12426649;0.123661832;0.002098887;0.012645481;0.007780422;0.007494752;0.011184163;0.010116801;0.002622049;0.012645481;0.998432566;0.70183023;0.701925763;0.704037391;0.698028072;0.760850804
log4j2;;org.apache.logging.log4j.perf.jmh.UuidGeneratorBenchmark.timeBasedUUID;;0.109822742;0.109378844;0.109647179;0.110188818;0.109713297;4.76E-04;0.007786201;0.011197074;0.006113288;0.008563622;0.006253532;0.004943542;0.011197074;0.997792382;0.996130524;0.992897931;0.703215193;0.699601509;0.877927508
rxjava;;io.reactivex.XMapYPerf.flowFlatMapMaybe0;times=1000;0.098167552;0.097873491;0.097515296;0.097198718;0.096884411;0.001283141;0.032425691;0.02885353;0.027714158;0.031278838;0.027068442;0.005357249;0.032425691;0.551437934;0.791089926;0.780897516;0.988219357;0.396004451;0.701529837
log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.utf16Encode;;0.17195046;0.171319723;0.17093975;0.170372929;0.169539388;0.002411072;0.008023445;0.010553862;0.008567169;0.011998553;0.012812691;0.004789246;0.012812691;0.988499889;0.998214844;0.990346506;0.998028304;0.702705141;0.935558937
log4j2;;org.apache.logging.log4j.perf.jmh.LoggerConfigBenchmark.logWithCountersNoLocks;;0.19270851;0.19175903;0.19084121;0.189956472;0.189408586;0.003299924;0.017394705;0.011388494;0.017666706;0.01717886;0.016781102;0.005392608;0.017666706;0.973471995;0.706961953;0.703825451;0.70383342;0.708800935;0.759378751
log4j2;;org.apache.logging.log4j.perf.jmh.PatternLayoutBenchmark.stringGetBytes;;0.232571163;0.232300677;0.233018123;0.234472818;0.235628926;0.00332825;0.015731096;0.021341457;0.016642423;0.020852064;0.018371102;0.002970355;0.021341457;0.982025652;0.997360904;0.709881403;0.997028455;0.706552302;0.878569743
log4j2;;org.apache.logging.log4j.perf.jmh.SimpleBenchmark.testDebugMessageDisabledThroughput;;0.1391206;0.138426915;0.13774008;0.137068083;0.136436094;0.002684507;0.01589136;0.017315354;0.017729179;0.016507447;0.016399819;0.001329361;0.017729179;0.995313172;0.707684236;0.707123424;0.996917406;0.992617793;0.879931206
log4j2;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.iterateArrayContextDataTriConsumer;count=5&length=20;0.160328126;0.159815264;0.159464091;0.158974853;0.158485035;0.001843091;0.019876096;0.018997296;0.016364672;0.018535489;0.020669948;0.004305277;0.020669948;0.993324829;0.723133702;0.711427682;0.994871074;0.71360793;0.827273043
rxjava;;io.reactivex.FlattenCrossMapPerf.flowable;times=100000;0.088412961;0.088096689;0.087767125;0.087460888;0.087463786;9.49E-04;0.011636405;0.015312915;0.016058805;0.0119222;0.016043283;0.004406878;0.016058805;0.744353138;0.781220076;0.998745074;0.528051873;0.526003844;0.715674801
log4j2;;org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.slf4jIsDebugEnabled;;0.108400172;0.107863185;0.107347188;0.106830014;0.106323381;0.002076791;0.009390745;0.005611043;0.006270808;0.007283352;0.008857939;0.003246896;0.009390745;0.996752413;0.717525946;0.953644423;0.879439765;0.955156836;0.900503876
