project;commit;benchmark;params;percentage;mean
;;io.reactivex.FlattenRangePerf.flowable;times=1;0.8627246449066044;9.711058847077328E-8
;;io.reactivex.FlattenRangePerf.flowable;times=10;0.9812231501840062;5.960459367493956E-7
;;io.reactivex.FlattenRangePerf.flowable;times=100;0.9900051965183477;4.833194675207719E-6
;;io.reactivex.FlattenRangePerf.flowable;times=1000;0.9955468761636521;4.807403180954168E-5
;;io.reactivex.FlattenRangePerf.flowable;times=10000;0.9894154173377966;4.6231997279725333E-4
;;io.reactivex.FlattenRangePerf.flowable;times=100000;0.9926134256115713;0.004634676429199918
;;io.reactivex.FlattenRangePerf.flowable;times=1000000;0.8982632169063252;0.04641264094200087
;;io.reactivex.FlattenRangePerf.observable;times=1;0.9944808944153484;7.922034406882366E-8
;;io.reactivex.FlattenRangePerf.observable;times=10;0.9919695154683807;2.932478487092516E-7
;;io.reactivex.FlattenRangePerf.observable;times=100;0.9960022480605597;2.435487497499497E-6
;;io.reactivex.FlattenRangePerf.observable;times=1000;1.0093085654049545;2.266630823082094E-5
;;io.reactivex.FlattenRangePerf.observable;times=10000;0.9995386813584449;2.2580817919998095E-4
;;io.reactivex.FlattenRangePerf.observable;times=100000;0.9599989261961042;0.002299669299199898
;;io.reactivex.FlattenRangePerf.observable;times=1000000;0.9292816703648883;0.02393376077700095
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=1,work=1;0.9407023399527377;5.068203800140754E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=1,work=10;1.0355761731008333;5.4797438719359775E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=1,work=100;0.9234139231883344;5.184603802281369E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=1,work=1000;0.9567681948211114;5.448769916991708E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=128,work=1;1.0156198232043174;5.2030737052990196E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=128,work=10;0.982222639731261;4.84766279905536E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=128,work=100;1.0062313908253453;5.095485491138501E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=128,work=1000;0.8897394349597404;5.4632168000000035E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=256,work=1;0.9109157863338465;5.128652926362441E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=256,work=10;1.1783042061454392;5.416351520000018E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=256,work=100;0.9786638629938607;5.179197677212647E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=256,work=1000;0.8913839782996235;5.440557360000001E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=32,work=1;1.0577361611149934;5.4033195200000094E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=32,work=10;1.0138461454318002;5.04092049239683E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=32,work=100;0.8931910659971373;5.132079791916756E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=32,work=1000;0.8549477248796512;4.937762896289624E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=8,work=1;0.9256192064661002;5.2056475398336546E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=8,work=10;0.9900262833569037;5.3426880128076756E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=8,work=100;0.9992910763865298;5.277465226090434E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=1,maxConcurrency=8,work=1000;1.0690884329149664;5.784128320000012E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=1,work=1;0.9946565018591353;5.926145741148255E-4
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=1,work=10;1.0099009621523123;5.495638272000027E-4
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=1,work=100;0.8851158179388164;5.675074176000021E-4
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=1,work=1000;0.9765569777837184;6.192666752000006E-4
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=128,work=1;1.0069254065330226;3.697753919999998E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=128,work=10;0.990926780782942;3.4774934400000126E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=128,work=100;1.0157431615075874;3.578376640000006E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=128,work=1000;1.0081805269882416;4.00609500950096E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=256,work=1;1.0312272450449937;3.57343071999999E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=256,work=10;0.9809722713764326;3.429747454745468E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=256,work=100;1.0516333517006309;3.646044799999991E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=256,work=1000;0.9836633167589607;3.9304940800000054E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=32,work=1;1.11531889626458;3.512388678867881E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=32,work=10;0.9995917123797892;3.568574719999998E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=32,work=100;1.0380339722596592;3.5858435200000164E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=32,work=1000;1.005251840637187;4.0968860799999976E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=8,work=1;0.9278646463125431;3.304897459491912E-5
;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=10,maxConcurrency=8,work=10;0.963884524012719;3.384985538553847E-5
