"project","numberOfBenchmarks","avgNumberOfBenchmarksPerClass","avgNumberOfBenchmarksPerFile","parameterizationUsedPercentage","groupsUsedPercentage","blackholeUsedPercentage","controlUsedPercentage","hasStateObjectsWithJmhParamsPercentage","hasStateObjectsWithoutJmhParamsPercentage","returnTypeUsedPercentage","returnTypeOrBlackholeUsedPercentage","nothingSetPercentage","benchmarkIsInnerClassPercentage","stars","forks","watchers","numberOfCommits","numberOfContributors"
"komiya-atsushi/fast-rng-java","25","3.125","5.0","0.32","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.64","13","0","1","69","1"
"konik-io/itext-carriage","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","1","1","40","1"
"konik-io/konik","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","29","13","7","380","4"
"konik-io/pdfbox-carriage","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3","2","1","67","3"
"konmik/collection-benchmark","8","8.0","8.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","3","0","1","17","0"
"Konstantin8105/Triangulation","6","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0","0","1","240","1"
"kpavlov/fixio","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","71","42","16","258","4"
"krystian-k/java-feature-bench","28","5.6","5.6","0.0","0.0","1.0","0.0","0.0","0.21428571428571427","0.0","1.0","1.0","0.0","0","0","0","47","1"
"kvnxiao/kommandant","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","5","0","1","162","1"
"kvr000/zbynek-concurrent-pof","44","4.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","1","28","1"
"kvr000/zbynek-java-exp","22","3.142857142857143","3.142857142857143","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","1","78","1"
"Lawrence-zxc/springStarter","7","2.3333333333333335","2.3333333333333335","0.2857142857142857","0.2857142857142857","0.0","0.0","0.0","0.0","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.0","2","6","2","10","1"
"leeyikjiun/blog","17","5.666666666666667","5.666666666666667","0.4117647058823529","0.0","0.0","0.0","0.17647058823529413","0.0","1.0","1.0","0.0","0.0","0","0","1","6","1"
"Leibnizhu/spring-boot-starter-netty","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","91","23","13","46","1"
"lemire/microbenchmarks","67","5.583333333333333","5.583333333333333","0.0","0.0","0.0","0.0","0.0","0.7910447761194029","0.9104477611940298","0.9104477611940298","0.1044776119402985","0.0","11","1","3","113","1"
"Lessnic/CAISS","1","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","1","83","1"
"lettuce-io/lettuce-core","65","3.823529411764706","3.823529411764706","0.0","0.0","0.1076923076923077","0.0","0.0","0.12307692307692308","0.03076923076923077","0.13846153846153847","1.0","0.0","2699","480","202","1674","33"
"lexas2509/perf","4","4.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","1","47","1"
"lhyqie/rtree","34","34.0","34.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","1","2","1"
"line/armeria","31","2.3846153846153846","2.3846153846153846","0.06451612903225806","0.0","0.3225806451612903","0.0","0.0967741935483871","0.0967741935483871","0.6129032258064516","0.8709677419354839","1.0","0.0","2066","424","182","1866","76"
"LiveMyKarma/Finalizer","2","2.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0","0","1","23","1"
"lmdbjava/benchmarks","56","5.6","5.6","0.0","0.0","1.0","0.0","0.19642857142857142","0.8035714285714286","0.0","1.0","0.0","0.0","92","15","15","169","5"
"loxal/template","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","1","31","1"
"lucwillems/JavaLinuxNet","8","8.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19","8","3","270","2"
"m0wfo/false-sharing-demo","4","4.0","4.0","0.0","1.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","7","1","2","9","2"
"magneticflux-/gridsim","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","1","11","1"
"manhcuongkd/blynk-server","20","5.0","5.0","0.1","0.0","0.0","0.0","0.0","0.0","0.8","0.8","0.0","0.0","0","0","1","5","1"
"manoelcampos/cloudsim-plus","9","4.5","4.5","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","103","74","18","1494","14"
"marcelmay/hadoop-hdfs-fsimage-exporter","1","1.0","1.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","44","13","5","99","1"
"marcelodeolive1ra/DC-UFSCar-ES2-201601-GrupoHelloWorld","4","4.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0","1","6","55","5"
"MaridProject/typedmap","7","1.75","1.75","0.0","0.0","0.0","0.0","0.42857142857142855","0.8571428571428571","1.0","1.0","0.0","0.0","0","0","1","107","1"
"marklogic/marklogic-jena","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","5","13","21","162","7"
"marklogic/marklogic-sesame","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","6","9","19","622","4"
"marschall/charsequences","10","5.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","2","0","1","99","1"
"marschall/line-parser","8","8.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","4","0","1","111","1"
"marschall/mini-commons","22","11.0","11.0","0.0","0.0","0.0","0.0","0.0","0.6363636363636364","1.0","1.0","0.0","0.0","0","1","1","45","1"
"marschall/sets","14","7.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1","0","1","87","1"
"marsorp/blog","73","2.92","2.92","0.136986301369863","0.0","0.0547945205479452","0.0","0.6575342465753424","0.0684931506849315","0.9178082191780822","0.9726027397260274","0.0","0.0","0","0","4","28","3"
"Mart-Bogdan/vertx-hello","8","2.0","2.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1","2","1","34","2"
"MartinanderssonDotcom/money-profiling","23","3.2857142857142856","3.2857142857142856","0.0","0.0","0.391304347826087","0.0","0.0","0.0","0.6521739130434783","1.0","0.0","0.0","1","0","1","13","1"
"matthew-dailey/java-playaround","11","5.5","5.5","0.0","0.0","0.0","0.0","0.0","0.0","0.9090909090909091","0.9090909090909091","1.0","0.0","0","0","1","51","2"
"maxdemarzi/ChronicleGraph","8","4.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.75","0.0","0.0","1","1","1","16","2"
"maxdemarzi/graph_processing","7","1.75","1.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","34","9","7","29","3"
"maxdemarzi/GuancialeDB","10","5.0","5.0","0.1","0.0","0.0","0.0","0.0","0.0","0.6","0.6","0.0","0.0","2","0","1","49","1"
"maxdemarzi/neo_dislikes","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","1","3","1"
"maxifier/mxcache","8","8.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.75","0.0","0.0","2","4","14","342","8"
"maximenajim/nashorn-react-jmh-microbenchmark","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0","0","0","4","1"
"mbosecke/pebble-benchmark","3","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0","1","1","20","2"
"mbosecke/template-benchmark","8","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","116","61","12","45","6"
"mdhorton/experiments","54","3.375","3.375","0.0","0.2777777777777778","0.5370370370370371","0.14814814814814814","0.0","0.3333333333333333","0.0","0.5370370370370371","0.0","0.0","0","0","0","19","1"
"meghana0507/grpc-java-poll","36","5.142857142857143","5.142857142857143","0.2222222222222222","0.0","0.0","0.0","0.0","0.0","0.05555555555555555","0.05555555555555555","0.16666666666666666","0.0","1","0","1","2","1"
"melix/jmh-gradle-plugin","7","1.75","1.75","0.0","0.0","0.0","0.0","0.0","0.0","0.5714285714285714","0.5714285714285714","0.7142857142857143","0.0","333","49","21","292","19"
"Mercateo/json-schema","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1","2","9","146","4"
"Mercateo/reflection","3","3.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.6666666666666666","0.6666666666666666","1.0","0.0","2","0","12","46","1"
"Mercateo/rest-schemagen","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","15","15","8","195","6"
"MeteoGroup/jbrotli","5","5.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","83","18","16","191","2"
"michaelhixson/jmh-benchmark-listof","44","44.0","44.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0","0","1","20","1"
"michaljonko/blog-examples","12","3.0","3.0","0.0","0.0","0.16666666666666666","0.0","0.0","0.0","0.0","0.16666666666666666","0.0","0.0","0","0","1","73","1"
"micrometer-metrics/micrometer","14","2.3333333333333335","2.3333333333333335","0.0","0.0","0.0","0.0","0.0","0.21428571428571427","0.6428571428571429","0.6428571428571429","0.6428571428571429","0.0","1795","378","119","1792","105"
"mikeb01/scratch","5","1.25","1.25","0.2","0.0","0.0","0.0","0.0","0.0","0.4","0.4","1.0","0.0","0","0","1","3","1"
"mikvor/hashmapTest","1","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","81","37","11","32","5"
"mini2Dx/mini2Dx","47","11.75","11.75","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","254","21","35","1220","7"
"mjeffrey/log-sanitizer","6","6.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","1","13","1"
"mkosem/stringsplitting","5","5.0","5.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0","0","1","9","1"
"mkraemerx/algorithm-art","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","1","18","1"
"Mojang/blixtser","16","4.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","59","8","17","58","2"
"mono-plane/presto","5","1.25","1.25","0.0","0.0","0.0","0.0","0.6","0.0","1.0","1.0","0.0","0.0","0","0","1","4562","53"
"MorganBauer/java-experiments","6","6.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","1","12","1"
"mourao666/cassandra-sim","28","14.0","14.0","0.0","0.0","0.0","0.0","0.0","0.07142857142857142","0.0","0.0","0.0","0.0","1","1","1","46","1"
"moves-rwth/attestor-examples","160","16.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","2","0","4","301","3"
"mox601/mybatis-pool-jmh","1","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1","0","0","4","1"
"mp911de/logstash-gelf","16","8.0","8.0","0.0","0.0","0.0","0.0","0.0","0.625","0.375","0.375","0.0","0.0","277","60","15","452","21"
"msteindorfer/criterion","101","12.625","12.625","0.8217821782178217","0.0","0.8712871287128713","0.0","0.0","0.0","0.12871287128712872","1.0","0.0","0.0","4","0","1","258","1"
"msteindorfer/oopsla15-artifact","22","7.333333333333333","7.333333333333333","1.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","28","5","2","4","1"
"mweirauch/micrometer-jvm-extras","2","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","38","4","5","75","4"
"myzhan/locust4j","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","27","14","7","113","2"
"n1analytics/javallier","10","5.0","10.0","0.8","0.0","0.8","0.0","0.0","0.2","0.2","1.0","0.8","0.8","41","15","13","201","7"
"Nawy/UnsafeCollections","8","4.0","4.0","0.0","0.0","0.25","0.0","0.0","1.0","0.0","0.25","1.0","0.0","0","0","2","18","2"
"neo4j-contrib/neo4j-graph-algorithms","78","2.4375","2.4375","0.5769230769230769","0.0","0.3076923076923077","0.0","0.15384615384615385","0.01282051282051282","0.7435897435897436","1.0","0.0","0.0","525","139","54","1035","18"
"neo4j-contrib/neo4j-jdbc","7","3.5","3.5","0.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","79","41","28","377","16"
"neowu/core-ng-demo-project","47","2.0434782608695654","2.0434782608695654","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6","5","3","358","1"
"nesteant/java-tests","14","2.8","2.8","0.0","0.0","1.0","0.0","0.0","0.7857142857142857","0.0","1.0","0.0","0.0","0","0","1","9","1"
"Netflix/Hystrix","40","5.0","5.0","0.0","0.6","0.0","0.0","0.575","0.575","1.0","1.0","0.0","0.0","18074","3722","1628","2109","106"
"Netflix/servo","2","2.0","2.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1308","275","461","1270","31"
"Netflix/spectator","68","6.8","6.8","0.0","0.0","0.8823529411764706","0.0","0.0","0.10294117647058823","0.04411764705882353","0.9264705882352942","1.0","0.0","511","103","368","1052","30"
"netty/netty","183","2.9516129032258065","2.9516129032258065","0.4808743169398907","0.0","0.18032786885245902","0.0","0.01092896174863388","0.0546448087431694","0.5683060109289617","0.7486338797814208","0.2677595628415301","0.0","20412","9385","1752","9451","349"
"netzwerg/paleo","2","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","63","15","9","188","5"
"nextopcn/lite-pool","12","6.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","40","15","6","116","2"
"nickman/json-benchmark","32","32.0","32.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","0","0","1","16","1"
"nickman/UnsafeAdapter","7","3.5","3.5","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","2","0","2","46","1"
"nicoulaj/jmh-utils","7","3.5","3.5","0.0","0.0","0.0","0.0","0.0","0.0","0.2857142857142857","0.2857142857142857","0.0","0.0","7","2","1","27","3"
"nielsbasjes/yauaa","15","15.0","15.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","304","60","31","1471","6"
"nikarh/equals-builder","15","7.5","7.5","0.0","0.0","0.0","0.0","0.0","0.0","0.9333333333333333","0.9333333333333333","0.0","0.0","3","0","1","29","1"
"nithril/packedobject-test","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0","0","1","7","1"
"nithril/sandbox-query-benchmark-jooq-hibernate-jdbc","10","5.0","5.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","0.0","6","4","2","8","1"
"nitram509/intellij-idea-plugin-serializer-toolbox","4","2.0","2.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","1","0","1","38","1"
"nitsanw/jmh-samples","19","3.1666666666666665","3.1666666666666665","0.2631578947368421","0.0","0.15789473684210525","0.0","0.0","0.3157894736842105","0.42105263157894735","0.5789473684210527","0.47368421052631576","0.0","67","23","4","21","1"
"nitsanw/safepoint-experiments","18","6.0","6.0","0.5","0.2222222222222222","0.0","0.0","0.0","0.0","0.3888888888888889","0.3888888888888889","0.0","0.0","8","2","2","9","1"
"nobeh/jmh-forked-main-threads","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","1","4","1"
"nom-tam-fits/nom-tam-fits","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","34","20","9","689","9"
"notsyncing/lightfur","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","2","0","1","299","1"
"npetzall/persistent-queue","15","3.0","3.0","0.0","0.0","0.2","0.0","0.0","1.0","0.8","1.0","0.0","0.0","0","0","1","12","1"
"numenta/htm.java","3","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","290","151","76","1507","28"
"oblac/jodd","46","4.181818181818182","4.181818181818182","0.13043478260869565","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","3054","650","262","5246","51"
"octabase/fnr-java","6","6.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3","0","1","45","1"
"opendaylight/controller","12","6.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","298","311","91","8475","97"
"opendaylight/yangtools","9","9.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","67","86","28","4704","46"
"OpenFeign/feign","8","2.6666666666666665","2.6666666666666665","0.125","0.0","0.0","0.0","0.0","0.0","0.875","0.875","0.0","0.0","4804","978","404","731","137"
"OpenHFT/Chronicle-Algorithms","4","4.0","4.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","61","25","29","184","10"
"OpenHFT/Chronicle-Logger","4","4.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","159","46","37","469","14"
"OpenHFT/Chronicle-Wire","35","11.666666666666666","11.666666666666666","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","149","47","33","2867","22"
"OpenHFT/jvm-micro-benchmarks","29","5.8","5.8","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","12","8","7","17","1"
"openrq-team/OpenRQ","16","2.6666666666666665","2.6666666666666665","0.5","0.0","0.0","0.0","0.0","0.0","0.25","0.25","0.0","0.0","87","22","18","242","2"
"openzipkin/zipkin-reporter-java","10","3.3333333333333335","3.3333333333333335","0.1","0.9","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","83","49","26","365","12"
"openzipkin/zipkin","73","6.636363636363637","6.636363636363637","0.0","0.0","0.0","0.0","0.0","0.0","0.9726027397260274","0.9726027397260274","0.0","0.0","11510","2097","722","2125","78"
"optimatika/ojAlgo-linear-algebra-benchmark","16","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","2","1","1","127","1"
"optimizely/java-sdk","20","6.666666666666667","6.666666666666667","0.85","0.0","0.0","0.0","0.0","0.0","0.75","0.75","0.0","0.0","20","12","82","281","20"
"oracle/graal","127","4.535714285714286","4.535714285714286","0.0","0.0","0.07874015748031496","0.0","0.007874015748031496","0.5669291338582677","0.5354330708661418","0.6141732283464567","0.2125984251968504","0.0","10022","645","403","37439","131"
"orfjackal/cqrs-hotel","6","3.0","3.0","0.3333333333333333","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","51","13","8","260","1"
"outbrain/prometheus-client","34","3.7777777777777777","3.7777777777777777","0.0","0.0","0.0","0.0","0.0","0.11764705882352941","0.0","0.0","0.0","0.0","14","2","17","195","4"
"PacktPublishing/Mastering-Mesos","9","1.0","1.5","0.6666666666666666","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.2222222222222222","0.8888888888888888","9","6","2","24","3"
"palantir/atlasdb","65","4.0625","4.0625","0.0","0.0","0.09230769230769231","0.0","0.0","0.9846153846153847","0.8769230769230769","0.9538461538461539","0.0","0.0","691","126","97","7537","104"
"paninij/paninij","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","5","5","4","922","7"
"pantsbuild/pants","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1186","339","67","6830","167"
"paritytrading/parity","7","3.5","3.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","366","144","55","869","7"
"paritytrading/philadelphia","31","5.166666666666667","5.166666666666667","0.0","0.0","0.0","0.0","0.0","0.0","0.41935483870967744","0.41935483870967744","1.0","0.0","152","56","20","592","7"
"patrickfav/bytes-java","1","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","40","11","6","250","4"
"pdemanget/examples","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0","0","1","28","1"
"peptos/traffic-shm","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","58","17","7","2","1"
"person-lee/nlp","18","4.5","4.5","0.1111111111111111","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0","0","1","16","1"
"peterszatmary/jmh-benchmark-demo","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","6","1","2","10","1"
"PhantomThief/more-lambdas-java","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15","6","2","201","3"
"PhantomThief/scope","6","3.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5","4","4","77","2"
"PhantomThief/simple-failover-java","2","2.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8","4","2","197","3"
"PhillHenry/palgorithms","3","1.5","1.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","1","18","1"
"pietermartin/sqlg","10","1.6666666666666667","1.6666666666666667","0.0","0.6","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","157","40","6","1963","12"
"pinterest/jbender","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","141","37","22","28","5"
"Pitt112/night-hawk","2","2.0","2.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0","0","1","48","1"
"planetsizebrain/stringbundler-tests","29","7.25","7.25","1.0","0.0","0.2413793103448276","0.0","0.0","0.0","0.7586206896551724","1.0","0.0","0.0","0","0","1","7","1"
"platan/idea-gradle-dependencies-formatter","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","151","6","7","264","2"
"plokhotnyuk/scala-vs-java","8","2.6666666666666665","2.6666666666666665","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","6","3","1","35","1"
"pombreda/btrace-hg","9","9.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","1","452","2"
"prasanthj/bloomfilter","11","2.2","2.2","0.2727272727272727","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8","1","0","34","2"
"prasanthj/hasher","18","6.0","6.0","1.0","0.0","0.2777777777777778","0.0","1.0","1.0","0.7222222222222222","1.0","0.0","0.0","10","6","2","20","1"
"presidentio/test-data-generator","9","1.2857142857142858","1.2857142857142858","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21","8","3","50","3"
"prestodb/presto","262","3.5405405405405403","3.5405405405405403","0.03435114503816794","0.0","0.0648854961832061","0.0","0.36259541984732824","0.5343511450381679","0.9198473282442748","0.9847328244274809","0.0","0.0","9481","3228","851","16025","300"
"prestosql/presto","257","3.619718309859155","3.619718309859155","0.03501945525291829","0.0","0.05058365758754864","0.0","0.3424124513618677","0.5525291828793775","0.933852140077821","0.9844357976653697","0.0","0.0","565","221","66","16552","312"
"promeG/TinyPinyin","8","2.6666666666666665","2.6666666666666665","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","2323","286","62","22","2"
"prometheus/client_java","33","11.0","11.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","952","410","65","396","86"
"protobufel/multikeymapjava","8","8.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","2","0","1","113","1"
"protobufel/protobuf-el","7","7.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","11","0","2","57","1"
"protostuff/protostuff","16","8.0","8.0","0.1875","0.0","0.0","0.0","0.0","0.0","0.5625","0.5625","0.0","0.0","1245","224","105","1505","16"
"puniverse/quasar","29","9.666666666666666","9.666666666666666","0.10344827586206896","0.896551724137931","0.0","0.896551724137931","0.0","0.896551724137931","0.5517241379310345","0.5517241379310345","0.896551724137931","0.0","3686","451","288","2494","18"
"Querables/querables-java","5","5.0","5.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","1","33","1"
"rabbitmq/rabbitmq-perf-test","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","109","49","19","628","12"
"rafamonteiro/SerializationProtocolsBenchMark","16","4.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","1","0","1","4","0"
"raphw/byte-buddy","39","7.8","7.8","0.0","0.0","0.3076923076923077","0.0","0.0","0.0","0.6923076923076923","1.0","0.0","0.0","2930","373","139","4950","45"
"raviprak/JAVABench","11","1.375","1.375","0.0","0.0","0.45454545454545453","0.09090909090909091","0.2727272727272727","0.8181818181818182","0.18181818181818182","0.6363636363636364","0.0","0.0","0","0","1","33","1"
"raydac/java-binary-block-parser","3","3.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","132","23","9","528","2"
"ReactiveX/RxGroovy","1","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","144","24","23","95","11"
"ReactiveX/RxJava","217","4.520833333333333","4.520833333333333","0.7373271889400922","0.0","0.8387096774193549","0.0","0.041474654377880185","0.0","0.4147465437788018","0.9032258064516129","0.0","0.0","40183","6750","2366","5567","236"
"ReactiveX/RxJavaParallel","11","3.6666666666666665","3.6666666666666665","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","52","11","14","8","2"
"reactor/reactive-streams-commons","157","4.485714285714286","4.485714285714286","0.6560509554140127","0.0","0.7961783439490446","0.0","0.08917197452229299","0.03821656050955414","0.006369426751592357","0.802547770700637","0.0","0.0","265","35","37","690","5"
"reactor/reactor-core","13","1.8571428571428572","1.8571428571428572","0.6153846153846154","0.0","0.46153846153846156","0.0","0.0","0.0","0.23076923076923078","0.6923076923076923","0.0","0.0","2520","508","150","2656","101"
"reaktivity/nukleus-tcp.java","2","2.0","2.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1","7","2","828","6"
"reaktivity/nukleus.java","6","3.0","3.0","0.0","0.3333333333333333","0.0","0.6666666666666666","0.0","0.0","0.0","0.0","0.0","0.0","1","5","2","314","4"
"real-logic/benchmarks","27","2.7","2.7","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","52","12","9","250","2"
