"project","numberOfBenchmarks","avgNumberOfBenchmarksPerClass","avgNumberOfBenchmarksPerFile","parameterizationUsedPercentage","groupsUsedPercentage","blackholeUsedPercentage","controlUsedPercentage","hasStateObjectsWithJmhParamsPercentage","hasStateObjectsWithoutJmhParamsPercentage","returnTypeUsedPercentage","returnTypeOrBlackholeUsedPercentage","nothingSetPercentage","benchmarkIsInnerClassPercentage","stars","forks","watchers","numberOfCommits","numberOfContributors"
"cryptomator/cryptolib","8","2.6666666666666665","2.6666666666666665","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","48","22","10","209","3"
"cryptomator/siv-mode","3","3.0","3.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","19","3","12","103","4"
"cs-ester-peixoto/docker-jenkins","40","5.0","5.0","0.0","0.6","0.0","0.0","0.575","0.575","1.0","1.0","0.0","0.0","0","0","0","9","1"
"cschenyuan/hive-hack","6","6.0","6.0","1.0","0.0","0.0","0.0","0.0","0.0","0.8333333333333334","0.8333333333333334","1.0","0.0","0","1","1","3","0"
"curioswitch/curiostack","16","4.0","4.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","25","7","4","685","5"
"d0k1/acache","6","3.0","3.0","0.0","0.0","1.0","0.0","0.0","0.3333333333333333","0.3333333333333333","1.0","0.0","0.0","1","0","1","30","2"
"d0k1/groovy-eval-bench","22","2.2","2.2","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1","0","2","36","1"
"d0k1/jitloganalyzer","7","1.4","1.4","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0","0","1","24","1"
"DaanVanYperen/artemis-odb-contrib","17","4.25","4.25","0.4117647058823529","0.0","0.4117647058823529","0.0","0.0","0.0","0.29411764705882354","0.4117647058823529","0.0","0.0","53","16","10","347","6"
"dafei1288/max","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","7","0","1","69","0"
"danielnorberg/rut","5","5.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","16","6","3","214","3"
"DanielThomas/spring-boot-starter-netty","7","2.3333333333333335","2.3333333333333335","0.2857142857142857","0.2857142857142857","0.0","0.0","0.0","0.0","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.0","145","61","22","8","1"
"darwin-evolution/darwin","5","2.5","2.5","0.0","0.0","0.0","0.0","0.0","0.4","1.0","1.0","0.0","0.0","1","0","6","13","2"
"DataArt/CalculationEngine","14","1.5555555555555556","1.5555555555555556","0.7857142857142857","0.0","1.0","0.0","1.0","0.0","0.0","1.0","1.0","0.0","4","0","20","759","2"
"daten-io/faster","11","11.0","11.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1","0","1","40","1"
"davidhagar-zz/java-microbenchmarks","20","6.666666666666667","6.666666666666667","0.0","0.0","0.0","0.0","0.0","0.2","1.0","1.0","0.0","0.0","1","0","1","4","1"
"davidmoten/audio-recognition","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","12","6","1","60","1"
"davidmoten/geo","2","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","287","72","38","358","6"
