project,computationFailed,aheadBy,behindBy,nothingChanged
UzumakiMansi/commons-csv,false,12,361,false
conchlee/grpc-java,false,0,3011,true
buchgr/grpc-java,false,0,2722,true
lingeringsocket/jgrapht,false,12,0,false
wrwg/grpc-java,true,,,
tomasonjo/neo4j-graph-algorithms,false,11,912,false
shubham166/presto,false,11,11045,false
ubschmidt2/instrumentation-java,false,11,1415,false
LuminateWireless/grpc-java,false,0,2408,true
jpxiong/okio,false,0,0,true
headuck/lmdbjni,false,11,1,false
amluto/simple-binary-encoding,false,0,1527,true
mingfly/grpc-java,true,,,
holidayfun/inspectIT,false,0,32,true
piotr-j/artemis-odb-contrib,false,9,77,false
kilink/okio,false,0,540,true
pvllnspk/commons-csv,false,0,365,true
pbouillet/inspectIT,false,0,285,true
tejasmanohar/okio,false,0,548,true
sunshinecoast/okio,false,0,540,true
nickethier/grpc-java,false,0,3015,true
qix/druid,false,0,4062,true
authbox-lib/druid,false,8,4287,false
767326791/druid,false,0,3988,true
xnslong/logging-log4j2,false,7,1396,false
Hunte9999/atom,false,7,359,false
jhalliday/hibernate-ogm,false,7,1531,false
zhiqinghuang/druid,false,0,3939,true
juoni/okio,false,0,605,true
mpilman/presto,false,7,9547,false
marksantos/simple-binary-encoding,false,7,179,false
koushikan/grpc-java,false,0,2823,true
clemensgeibel/inspectIT,false,0,2,true
mohanaraosv/commons-csv,false,0,365,true
vampiregod1996/grpc-java,false,0,3106,true
morj/xodus,false,6,1766,false
Shedings/okio,false,0,548,true
palaniyappanBala/okio,false,0,552,true
madongfly/grpc-java,false,0,2673,true
kevintvh/druid,false,0,3958,true
eamonnmcmanus/grpc-java,false,0,2824,true
smorin/simple-binary-encoding,false,0,1527,true
tempbottle/okio,false,0,544,true
stanley-cheung/grpc-java,false,0,2909,true
xubuhang/okio,false,0,542,true
v7lin/okio,false,0,540,true
msdgwzhy6/okio,false,0,550,true
aglne/grpc-java,false,0,2929,true
winstar/grpc-java,false,0,3011,true
ybv/grpc-java,false,0,2921,true
angcyo/okio,false,0,552,true
chenrui2014/okio,false,0,548,true
Luccr1/inspectIT,true,,,
Tammie47/inspectIT,false,6,0,false
tuacy/grpc-java,false,0,3022,true
joshuabezaleel/grpc-java,false,0,2809,true
jiakuan/commonmark-java,false,5,260,false
tasomaniac/caffeine,false,0,592,true
svashisth/java-perv,false,0,11,true
lcs777/simple-binary-encoding,false,5,1524,false
fizzed/template-benchmark,false,0,12,true
glamarre360/stagemonitor,false,5,493,false
leveyj/ignite,false,0,8066,true
zhoupan/feign,false,0,380,true
jmnarloch/feign,false,0,299,true
jcanizales/grpc-java,false,0,3216,true
penuel-leo/druid,false,0,4154,true
RaysaOliveira/cloudsim-plus,false,5,550,false
sdgdsffdsfff/stagemonitor,false,0,1117,true
matrixdigi/pinot,false,5,4684,false
Echo19890615/feign,true,,,
FrEaKmAn/feign,false,0,377,true
spencergibb/feign,false,0,437,true
bstick12/feign,false,0,396,true
openedbox/feign,false,0,403,true
gorcz/feign,false,0,424,true
olkulyk/feign,false,0,396,true
ddteeter/feign,false,0,390,true
rjdkolb/vmbenchmarks,true,,,
xquery/marklogic-sesame,false,5,22,false
amannaly/jbender,false,5,2,false
shahankhatch/aurora,false,0,969,true
tempbottle/netty-zmtp,false,0,8,true
stanculescu/gateway,false,0,94,true
amoghmargoor/incubator-calcite,false,0,484,true
522986491/yangtools,false,0,2188,true
kidaa/aurora,false,0,1031,true
summerhai/ohc,false,0,102,true
mschenck/aurora,false,0,890,true
yipen9/netty,false,4,39,false
ZJaffee/hibernate-ogm,false,4,1280,false
fengjiachun/JCTools,false,4,549,false
GauriGNaik/commons-csv,false,4,365,false
Banno/metrics,false,0,342,true
kekbur/logback-ext,false,4,7,false
broblin/java-8-lambdas-exercises,false,4,31,false
trampi/stagemonitor,false,0,631,true
krosenvold/plexus-utils,false,4,0,false
kjniemi/netty,false,3,49,false
dabaitu/presto,false,3,5450,false
wuyinxian124/netty,false,0,465,true
mikeb01/benchmarks,false,3,229,false
KurtYoung/druid,false,3,2563,false
pdeva/druid,false,3,2696,false
nitin2goyal/parquet-mr-1,false,3,370,false
arina-ielchiieva/calcite,false,0,640,true
phillipross/java-http-signature,false,3,39,false
wolf8334/springside4,false,3,15,false
pombredanne/pants,false,3,2372,false
loriopatrick/fixio,false,3,97,false
neuro-sys/logging-log4j2,false,2,5690,false
zxs/druid,false,2,2549,false
DALDEI/byte-buddy,false,2,370,false
hexdecteam/stagemonitor,true,,,
simonhorlick/grpc-java,false,2,1446,false
davecramer/pgjdbc,false,2,321,false
toxeh/presto,false,2,10285,false
tfgm-bud/simple-binary-encoding,false,2,1541,false
RavinaDhruve/commons-csv,false,2,361,false
AdrianCozma/gateway,false,0,91,true
pcadabam/gobblin,false,2,515,false
trask/glowroot,false,2,5,false
krraghavan/fongo,false,0,75,true
qubole/calcite,false,0,1109,true
vyazelenko/jmh-gradle-plugin,false,0,101,true
stevegury/reactivesocket-java,false,0,759,true
philandstuff/dropwizard,false,0,1658,true
milimetric/druid,false,0,4261,true
randiroe/dropwizard,false,0,1847,true
mkouba/template-benchmark,false,0,32,true
anonymint/dropwizard,false,2,1432,false
yngui/jephyr-benchmark,true,,,
gunnarmorling/hibernate-validator,false,0,1197,true
taltmann/dropwizard,false,0,838,true
immortius/gestalt,false,2,6,false
freezhan/java-8-lambdas-exercises,false,2,25,false
Randgalt/dropwizard,false,0,1692,true
yrashk/es4j,false,0,79,true
dsavinkov/dropwizard,false,0,2081,true
placrosse/lmdbjni,false,0,77,true
mnrasul/dropwizard,false,0,1972,true
akshaymaniyar/dropwizard,false,0,1847,true
douzzi/dropwizard,false,0,1961,true
yshaojie/dropwizard,false,0,1900,true
ben1247/dropwizard,false,0,1841,true
lukehutch/netty,false,1,38,false
johnou/orbit,true,,,
mattnelson/dropwizard,false,0,1424,true
caoyanwei/netty,false,1,189,false
akraxx/dropwizard,false,0,1871,true
eincs/netty,false,1,190,false
KobeFeng/hppc,false,0,56,true
marksutt/commonmark-java,false,0,419,true
benalexau/simple-binary-encoding,false,0,1218,true
daschl/netty,false,1,1179,false
KatsuraKKKK/netty,false,1,976,false
rafaeljribeiro/reversegeocode,false,0,13,true
pcj/commonmark-java,false,0,392,true
maliqq/netty,false,1,1697,false
dongfeng2008/Chronicle-Algorithms,false,0,115,true
storozhukBM/javaslang-circuitbreaker,false,0,745,true
lburgazzoli/Chronicle-Algorithms,false,0,115,true
PKRoma/simple-binary-encoding,false,0,0,true
WorstCase00/jgrapht,false,0,1271,true
fc7/jabref,false,0,5241,true
Mogztter/jinjava,false,0,982,true
lonnyj/pgjdbc,false,0,858,true
buybackoff/simple-binary-encoding,false,0,888,true
NiteshKant/reactivesocket-java,false,0,461,true
chirino/lmdbjni,true,,,
larusba/neo4j-jdbc,true,,,
luyiisme/netty,false,1,2038,false
sheenammittal7/directory-kerby,false,0,802,true
dflemstr/missinglink,false,0,58,true
cogmission/htm.java,false,0,2,true
DLotts/incubator-rya,false,0,165,true
pujav65/incubator-rya,false,0,237,true
hyangtack/netty,false,0,521,true
jacek-rzrz/RxJava,false,1,176,false
mohanaraosv/commons-bcel,false,0,451,true
kuanghao/RxJava,false,1,689,false
DanielSperry/orbit,true,,,
arcanefoam/jgrapht,false,0,1675,true
jacobwil/incubator-pirk,false,0,4,true
dskinner/SiftXml,false,0,0,true
pford68/htm.java,false,0,833,true
chelu/htm.java,false,0,2,true
mosoft521/springside4,false,0,0,true
Bragaman/atom,false,1,330,false
virur7/netty,false,0,1243,true
aihua/springside4,false,0,15,true
soenter/netty,false,0,1539,true
smarthi/incubator-pirk,false,0,3,true
amihalik/incubator-rya,false,0,179,true
tellison/incubator-pirk,false,0,5,true
dimstav23/cloudsim-plus,false,0,570,true
wraydulany/incubator-pirk,false,0,9,true
YaningX/directory-kerby,false,0,774,true
meiercaleb/incubator-rya,false,0,193,true
pettermahlen/missinglink,false,0,43,true
shashankasharma/directory-kerby,false,0,802,true
tempbottle/commons-bcel,false,0,453,true
hyperverse/mini2Dx,false,1,652,false
kchilton2/incubator-rya,false,0,12,true
jiteshmohan/directory-kerby,false,0,802,true
jforge/Hystrix,false,1,893,false
fstab/parallel-streams-example,true,,,
mwringe/hawkular-metrics,false,0,191,true
eonezhang/servo,false,0,142,true
mcculls/cglib,false,0,42,true
stagraqubole/presto,false,0,12710,true
davidbecker/SquidLib,true,,,
thomasnield/rxjava-jdbc,false,0,81,true
drudenko/slice,false,1,141,false
jforge/rapidpm-microservice,false,0,367,true
Twister915/Trident,false,1,361,false
drankye/directory-kerby,false,0,510,true
dain/aircompressor,false,0,26,true
wangsan/Hystrix,false,1,164,false
incubos/yoctodb,false,0,100,true
tietang/rxjava-jdbc,false,0,149,true
puneetarora2000/fastdtw-1,false,0,0,true
zapov/pgjdbc,false,1,239,false
mariusoe/inspectIT,false,1,2,false
entelesis/servo,false,0,125,true
is00hcw/parseq,false,0,464,true
ktoso/hpack,false,0,6,true
brharrington/servo,false,0,0,true
vtsyryuk/rxjava-jdbc,false,0,145,true
pravsingh/Algorithm-Implementations,false,0,52,true
plusplusjiajia/directory-kerby,false,0,14,true
