"project","commits","useJmhSince"
"iamdarksorcerer/java-jmh-benchmarks","1","0.0"
"jayware/entity-essentials","19","1.43"
"arienkock/parallelism-benchmarks","3","0.08"
"johnlcox/motif","3","0.13"
"dcapwell/java-file-operations","2","0.0"
"victor-cr/template-text-parser","1","0.0"
"camunda/camunda-engine-dmn-benchmark","2","0.23"
"MartinanderssonDotcom/money-profiling","2","0.71"
"kickass-jmh/riviera","2","2.3"
"OpenHFT/Chronicle-Algorithms","27","3.96"
"OpenHFT/Chronicle-Logger","15","1.87"
"bensteinert/chromarenderer-java-benchmarks","7","1.67"
"daten-io/faster","2","0.01"
"real-logic/simple-binary-encoding","59","4.88"
"willhaben/blog","6","1.38"
"demoth/finistika","2","0.02"
"spotify/completable-futures","11","2.26"
"stewsters/stewsters-util","9","1.55"
"npetzall/persistent-queue","1","0.0"
"shalinmangar/solr-jmh-tests","2","0.04"
"terma/mutable-fast-select","1","0.0"
"tinyj/tinyj-lazy","2","0.46"
"MorganBauer/java-experiments","1","0.0"
"arnaudroger/benchmark-loop","2","0.0"
"tootedom/herdcache","16","3.51"
"wenerme/seq","1","0.0"
"Gohla/persistent-graph","1","0.0"
"vsch/flexmark-java","49","4.1"
"airlift/aircompressor","21","3.95"
"anonl/nvlist","31","2.53"
"apache/commons-bcel","37","4.62"
"uliashkevich/native-struct","1","0.0"
"apache/incubator-rya","27","2.79"
"yanchith/pattern","10","2.91"
"sujanctg2005/test-project","3","0.79"
"burmanm/compression-int","5","1.36"
"cryptomator/siv-mode","16","2.51"
"ecki/jmhbench-cryptospeed","6","1.2"
"loxal/template","1","0.0"
"robinst/microbenchmarks","4","1.35"
"audit4j/audit4j-benchmarks","3","2.88"
"bingoohuang/javacode-demo","5","2.71"
"graphql-java/graphql-java","7","0.48"
"HBTGmbH/java-propertyname","8","0.96"
"ibodrov/bpm","4","0.26"
"Lawrence-zxc/springStarter","4","2.65"
"gdrouet/scanner-benchmark","2","0.01"
"j-musca/kata08-conflicting-objectives","1","0.0"
"peterszatmary/jmh-benchmark-demo","1","0.0"
"jchambers/jeospatial","5","2.12"
"cs-ester-peixoto/docker-jenkins","2","0.01"
"dcapwell/jmh-tests","3","1.5"
"ricdong/presto","1","0.0"
"nitsanw/safepoint-experiments","2","0.06"
"nesteant/java-tests","3","1.71"
"Mercateo/reflection","5","0.74"
"numenta/htm.java","30","3.98"
"volodin-aa/openjdk-benchmark","2","0.0"
"raydac/java-binary-block-parser","17","1.88"
"acisternino/narjillos-math-bench","2","0.03"
"rolve/better-checks","3","0.43"
"mkosem/stringsplitting","2","0.01"
"spotify/missinglink","9","3.85"
"springside/springside4","8","1.51"
"Swrve/rate-limited-logger","8","4.42"
"asympro/CleanStringBuilderBenchmark","2","0.47"
"takari/bpm","29","3.04"
"m0wfo/false-sharing-demo","1","0.0"
"Techcable/Event4J","3","0.26"
"thejotta/CloudSimPlusModificado","6","0.74"
"thesmythgroup/SiftXml","4","0.55"
"uber/tchannel-java","26","3.86"
"user405/test","9","0.64"
"rgorodischer/microbenchmarks","5","0.36"
"iNikem/clean","4","0.39"
"aitusoftware/flute","8","1.68"
"aNNiMON/Own-Programming-Language-Tutorial","17","2.93"
"apache/directory-kerby","44","4.02"
"afdw/fastcloud","1","0.0"
"tobijdc/PRNG-Performance","2","2.63"
"ennerf/flatbuffers-java-benchmark","1","0.0"
"gvsmirnov/jmh-gradle-sample","3","0.69"
"nithril/sandbox-query-benchmark-jooq-hibernate-jdbc","2","0.23"
"bingoohuang/westcache","17","2.14"
"cglib/cglib","21","3.45"
"codahale/longmapper","11","1.22"
"codahale/shamir","22","2.0"
"DanielThomas/spring-boot-starter-netty","4","0.95"
"dcapwell/collections","1","0.0"
"davidmoten/geo","4","0.34"
"davidmoten/rxjava-jdbc","24","2.67"
"ESAPI/esapi-java-legacy","4","0.21"
"taojiaenx/netty-source-study","1","0.0"
"planetsizebrain/stringbundler-tests","2","0.03"
"srvaroa/jbcnconf","2","0.02"
"ThomasKrieger/benchmarks","2","1.42"
"Hanmourang/Pinot","3","0.1"
"HansBrende/f8","4","0.18"
"elbek/ir","1","0.0"
"iok1979/test","1","0.0"
"amoAHCP/Java8LunchSchool","1","0.0"
"joyent/java-manta","28","2.35"
"json-iterator/java","21","2.19"
"jayjaykim/jmh-sample","1","0.0"
"TechEmpower/misc","2","0.02"
"konik-io/itext-carriage","3","0.15"
"konik-io/konik","32","4.93"
"konik-io/pdfbox-carriage","15","4.52"
"akarnokd/ReactiveChannel","1","0.0"
"escalate42/Javaz-Benchmarks","1","0.0"
"nithril/packedobject-test","1","0.0"
"Mercateo/json-schema","9","1.65"
"Mercateo/rest-schemagen","21","3.29"
"mweirauch/micrometer-jvm-extras","6","0.45"
"Netflix/servo","35","4.01"
"netzwerg/paleo","9","1.79"
"nom-tam-fits/nom-tam-fits","19","3.61"
"peptos/traffic-shm","2","0.0"
"leeyikjiun/blog","2","0.01"
"PhantomThief/more-lambdas-java","2","0.04"
"PhantomThief/simple-failover-java","3","0.14"
"xzy256/grpc-java-mips64","2","0.0"
"rabbitmq/rabbitmq-perf-test","20","1.55"
"reaktivity/nukleus-tcp.java","31","2.53"
"relayrides/pushy","31","3.1"
"runidle/runidle-testing","1","0.0"
"requery/requery","42","3.52"
"tkowalcz/openjdk-jmh","1","0.0"
"rodolfodpk/myeslib2","5","0.39"
"rsby/gunmetal","1","0.0"
"sangupta/gather","5","0.36"
"Ajeet-Ganga/howToGuide","1","0.0"
"wesamhaboush/furmat","1","0.0"
"svenruppert/rapidpm-microservice","36","3.02"
"twitter/hpack","5","4.1"
"jjenkov/iap-tools-java-benchmarks","2","0.14"
"kaustubh-walokar/grpc-poll-service","2","0.0"
"waffle/waffle","13","1.29"
"abstools/timsort-benchmark","1","0.0"
"manhcuongkd/blynk-server","2","0.0"
"alexo/spinner","4","1.65"
"andrey-vasilyev/gosthash","2","0.07"
"apptik/JustJson","2","0.39"
"drankye/bufferalloc","1","0.0"
"ThreeTen/threeten-bench","2","0.02"
"bckfnn/taggersty","3","0.17"
"irobertson/invokedynamic-talk-code","1","0.0"
"bensteinert/chromarenderer-java","1","0.0"
"bingoohuang/eql","14","1.3"
"jmiettinen/jradixheap","1","0.0"
"hhu-stups/bmoth","10","0.98"
"jharting/weld-collections-benchmark","2","0.01"
"canepat/Helios","7","0.55"
"codahale/usl4j","20","1.83"
"dafei1288/max","2","0.04"
"ipogudin/examples","4","0.71"
"davidmoten/rxjava2-http","9","1.12"
"davidmoten/rxjava-extras","30","3.01"
"davidmoten/word-wrap","3","0.61"
"Codearte/duramen","9","4.25"
"dimagi/commcare-core","31","2.48"
"dmart28/reveno","9","3.18"
"IRus/Instanceof-vs-Try-Catch","2","2.05"
"stagemonitor/stagemonitor","46","4.28"
"eternita/frontcache","6","2.05"
"jfaleiro/keyvalue","1","0.0"
"graalvm/mx","40","3.22"
"GumTreeDiff/gumtree","23","3.42"
"hawkular/hawkular-metrics","30","3.09"
"ashishbende/RPC-API","1","0.0"
"jchambers/java-otp","2","0.02"
"j-easy/easy-batch","37","4.39"
"msteindorfer/oopsla15-artifact","4","0.38"
"junkdog/artemis-odb","33","4.0"
"kgilmer/XMLObjectIterable","3","0.16"
"kpavlov/fixio","7","2.28"
"kvnxiao/kommandant","1","0.0"
"debop/debop4k","7","2.76"
"davidhagar-zz/java-microbenchmarks","1","0.0"
"rafamonteiro/SerializationProtocolsBenchMark","1","0.0"
"marcelmay/hadoop-hdfs-fsimage-exporter","11","1.59"
"marklogic/marklogic-jena","27","3.88"
"marklogic/marklogic-sesame","17","3.23"
"jad7/AtomicIncrementBenchmark","2","0.0"
"gpanther/lychrel-numbers","1","0.0"
"haozhun/regexp-bench","1","0.0"
"britter/to-array-benchmark","1","0.0"
"myzhan/locust4j","5","0.51"
"josegom/training","3","0.18"
"notsyncing/lightfur","15","1.22"
"paninij/paninij","20","2.6"
"pantsbuild/pants","34","2.72"
"patrickfav/bytes-java","6","0.62"
"restfb/restfb-benchmark","1","0.0"
"platan/idea-gradle-dependencies-formatter","25","3.85"
"ReactiveX/RxGroovy","3","0.91"
"rerorero/oleoleflake","2","0.06"
"rmpestano/cukedoctor","21","3.47"
"robinst/autolink-java","19","4.01"
"witi83/jmh-streams","1","0.0"
"yshahun/probabilistic-util","1","0.0"
"akashche/tzdata-jmh","2","0.0"
"ericmoshare/uid-generator","2","0.01"
"smoketurner/uploader","31","2.89"
"spotify/apollo","35","3.76"
"spriet2000/handlers","4","0.58"
"Squarespace/less-compiler","7","1.56"
"irobertson/StringBuilderInvokeDynamicBenchmark","1","0.0"
"snikiforov4/try-geolocation","1","0.0"
"maximenajim/nashorn-react-jmh-microbenchmark","1","0.0"
"mox601/mybatis-pool-jmh","1","0.0"
"titorenko/quick-csv-streamer","8","2.39"
"jon-hanson/funcj","29","2.54"
"udoprog/scribe","3","0.04"
"nobeh/jmh-forked-main-threads","1","0.0"
"wallerlab/yoink","12","2.83"
"Workiva/frugal","34","2.69"
"wotifgroup/wotif-logutils","1","0.0"
"taichi/json-benchmarks","2","0.01"
"Sandyarathi/Lab2gRPC","1","0.0"
"fpavageau/bench-filters","2","0.0"
"cschenyuan/hive-hack","1","0.0"
"tweakers-dev/objectpool-benchmarks","1","0.0"
"mikeb01/scratch","2","0.01"
"magneticflux-/gridsim","1","0.0"
"taichi/jmh-gradle-ide","2","0.01"
"basho-labs/java-client-bench","1","0.0"
"gpanther/regex-libraries-benchmarks","2","0.25"
"maxdemarzi/neo_dislikes","1","0.0"
"rnc/jmh-benchmarks","1","0.0"
"SerCeMan/jmh-spring","1","0.0"
"meghana0507/grpc-java-poll","1","0.0"
"lhyqie/rtree","2","0.0"
"alexingcool/presto","1","0.0"
"Lessnic/CAISS","4","0.37"
"TU-Berlin-SNET/tresor-pdp-caching","1","0.0"
"SoatGroup/benchamrk-lambda","1","0.0"
"epickrram/benchmark","2","0.02"
"artspb/javax-mail-pool","1","0.0"
"dmnlukasik/java-8-concurrency-updates","1","0.0"
"hmarchadour/EasyCDO","1","0.0"
"witi83/jmh-primitive-data-types","2","0.0"
"enisher/polymorphic-calls-benchmark","1","0.0"
