project;benchmark;params;time
log4j2;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndDsrptrWithLoc-noOpAppender.xml;558.591
log4j2;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndMpscQWithLoc-noOpAppender.xml;557.98
log4j2;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndXferQWithLoc-noOpAppender.xml;562.598
log4j2;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughputSimple;;567.564
log4j2;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput1Param;;567.284
log4j2;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput2Params;;567.104
log4j2;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput3Params;;567.558
log4j2;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput4Params;;567.23
log4j2;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput5Params;;566.882
log4j2;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput6Params;;566.528
log4j2;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput7Params;;567.153
log4j2;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput8Params;;567.233
log4j2;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput9Params;;566.947
log4j2;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput10Params;;566.528
log4j2;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput11Params;;566.306
log4j2;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackLocationBenchmark.throughputSimple;;560.84
log4j2;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughputSimple;;563.859
log4j2;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput1Param;;564.295
log4j2;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput2Params;;562.628
log4j2;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput3Params;;563.034
log4j2;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput4Params;;561.603
log4j2;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput5Params;;562.106
log4j2;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput6Params;;562.402
log4j2;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput7Params;;562.959
