project;commit;benchmark;params;effectSize5;effectSize10;effectSize15;effectSize20;effectSize25;wilcoxon5;wilcoxon10;wilcoxon15;wilcoxon20;wilcoxon25;ciRatio5;ciRatio10;ciRatio15;ciRatio20;ciRatio25
rxjava;;io.reactivex.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable;items=100000&maxConcurrency=32&work=1000;0.48851126;0.35735047;0.27784595;0.20509441;0.1017423;0;0;8.53E-254;3.15E-139;1.23E-35;0.00809;0.023952;0.02052;0.007585;0.002654
rxjava;;io.reactivex.BlockingPerf.observableBlockingFirst;times=1000;0.004187202;0.005144823;0.009047609;0.005484245;0.009371292;0.608261947;0.528829205;0.268069507;0.502012081;0.251335086;0.0041813;0.0028843;0.0047004;0.0040648;0.0037396
rxjava;;io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMapCompletable;items=1&maxConcurrency=256;7.53E-04;9.83E-04;0.009462725;0.016220663;0.009645577;0.92659255;0.904222785;0.246704184;0.047058551;0.23766832;0;6.54E-05;6.88E-04;3.14E-04;0.001892
rxjava;;io.reactivex.xmapz.ObservableSwitchMapCompletablePerf.observableConvert;count=100000;0.02303235;0.01589075;0.01103081;0.02524047;0.01751757;0.004790335;0.051635187;0.176708559;0.001993249;0.031920738;0;0;0;0;0
rxjava;;io.reactivex.XMapYPerf.flowFlatMapIterable1;times=100;0.003203201;0.015538384;0.029305211;0.003081196;0.024177523;0.694857872;0.057045708;3.32E-04;0.705921229;0.003068076;0;0;0.002347;0;3.75E-04
rxjava;;io.reactivex.xmapz.FlowableConcatMapSinglePerf.flowableConvert;count=10000;0.46236538;0.46370198;0.46855104;0.47167527;0.34168498;0;0;0;0;0;0;2.20E-04;0.002227;0.00589;0.001524
rxjava;;io.reactivex.StrictPerf.external;count=10000&cpu=1;0.00690113;9.94E-04;0.00126932;0.00559352;1.89E-04;0.398004079;0.903116358;0.876462289;0.493314662;0.981501674;4.97E-04;0;0;1.00E-05;0
rxjava;;io.reactivex.xmapz.ObservableSwitchMapCompletablePerf.observableConvert;count=1000;0.154989912;0.049570364;0.035423534;0.023359434;0.023517943;2.66E-80;1.28E-09;1.44E-05;0.004234436;0.003983268;0;0;0.002322;0;0
rxjava;;io.reactivex.FlowableFlatMapCompletableSyncPerf.flatMap;items=100000&maxConcurrency=32;0.02343399;0.01242594;0.00640621;0.01004806;0.0021941;0.004104794;0.128053541;0.432701227;0.218472419;0.788149351;0;0;0;0;0
rxjava;;io.reactivex.xmapz.ObservableSwitchMapCompletablePerf.observableDedicated;count=10;0.094591544;0.019302695;0.017123993;0.018080899;0.013452463;5.11E-31;0.01812653;0.036031609;0.026851245;0.099556659;0.004092;0.002346;0;0.001703;0
