project;commit;benchmark;param;i6;i7;i8;i9;i10
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput8Params;;0.007960428;0.012864177;0.011775766;0.010636365;0.00687511
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput9Params;;0.032487436;0.006947158;0.006326273;0.007193739;0.008695672
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughputSimple;;0.01034868;0.007625575;0.005253971;0.005095834;0.003301412
;;org.apache.logging.log4j.perf.jmh.AsyncLoggersLocationBenchmark.throughputSimple;;0.697326012;0.04980559;0.036735101;0.009588818;0.013882991
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.baseline;;0.708186874;0.041346119;0.047879246;0.026029073;0.022239668
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.cachedClock;;0.292262142;0.287561073;0.289348068;0.285496651;0.009210927
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.coarseCachedClock;;0.308642625;NaN;NaN;NaN;NaN
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.fixedClock;;0.280647581;0.263220043;0.065878558;0.357711937;0.363051107
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.fixedFinalClock;;0.284743629;0.293717451;0.293918087;0.283692035;0.29125114
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.oldCachedClock;;0.440752825;0.481215098;NaN;NaN;NaN
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.systemClock;;0.140013313;0.086140662;0.030997369;0.013652905;0.010081777
;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.systemCurrentTimeMillis;;0.779758794;0.155620012;0.128502717;0.021515934;0.038629529
;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterArrayList1Element;;0.426829318;0.388519062;0.303872611;0.305513221;0.01312829
;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterArrayList3Element;;0.044713427;0.047342242;0.097088454;0.047780965;0.034776529
;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterArraySet1Element;;0.785308761;0.782114012;0.089939968;0.093801312;0.008779932
;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterArraySet3Element;;0.0854444;0.072331343;0.089598215;0.088129102;0.055859293
;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterMap1Element;;0.908167444;0.054003235;0.084696582;0.083342124;0.084201344
;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.iterMap3Elements;;0.317620775;0.315446444;0.31846651;0.151327601;0.024709186
;;org.apache.logging.log4j.perf.jmh.CollectionsBenchmark.testBaseline;;0.659926369;0.402578756;0.4275817;0.015005196;0.023280583
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONFIG,queueFullPolicy=ENQUEUE;0.042749606;0.041696651;0.011878176;0.002939041;0.001891317
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONFIG,queueFullPolicy=ENQUEUE_UNSYNCHRONIZED;0.021880271;0.003368083;0.008102697;0.007137948;0.00461196
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONFIG,queueFullPolicy=SYNCHRONOUS;0.102412441;0.0912401;0.089296415;0.106209378;0.101734346
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONTEXT,queueFullPolicy=ENQUEUE;0.044970035;0.003720829;0.003634664;0.006196859;0.00426205
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONTEXT,queueFullPolicy=ENQUEUE_UNSYNCHRONIZED;0.005539272;0.003014784;0.004098156;0.002578905;0.002894411
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONTEXT,queueFullPolicy=SYNCHRONOUS;0.025296589;0.031450103;0.015818914;0.033536454;0.023723223
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONFIG,queueFullPolicy=ENQUEUE;0.010718957;0.011825947;0.014199601;0.013710233;0.011238981
;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.singleLoggingThread;asyncLoggerType=ASYNC_CONFIG,queueFullPolicy=ENQUEUE_UNSYNCHRONIZED;0.026638776;0.003971366;0.001377372;0.001608832;0.002521246
