project;commit;benchmark;param;i2;i3;i4;i5;i6;i7;i8;i9;i10
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput6Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.980872558;0.988434993;0.995023509;0.994681973;0.993026122;0.990448875;0.975352779;0.983070749;0.993119454
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput6Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.984911425;0.987115684;0.994555888;0.985769385;0.973011828;0.991024999;0.984334144;0.991949332;0.987892388
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput6Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.978160471;0.99376674;0.993213635;0.994761462;0.994110079;0.995346129;0.993355046;0.994402594;0.998204331
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput6Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.98579266;0.992162837;0.976531258;0.98821877;0.991207691;0.993882828;0.995614744;0.995620299;0.988735844
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.959231174;0.989707086;0.996419354;0.997376433;0.994096959;0.998288594;0.995164812;0.995166458;0.984079668
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.982286987;0.992206101;0.997632528;0.991341916;0.99624393;0.99761945;0.99555959;0.995184;0.986342994
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.994792461;0.991502499;0.999204079;0.997925245;0.991395489;0.992631222;0.99704969;0.991931605;0.977386315
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.992976416;0.994562882;0.995684939;0.987898492;0.99014351;0.994265488;0.996838742;0.994136626;0.989096616
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.983484967;0.992400104;0.973965175;0.991588814;0.995121498;0.993673942;0.993726115;0.996524515;0.997046185
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.97078399;0.994525113;0.995948141;0.998203319;0.993910825;0.995808572;0.99596756;0.99395526;0.99526546
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.967480722;0.98517082;0.998724257;0.996582928;0.995504298;0.998776405;0.993697802;0.996031585;0.995474364
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.987759764;0.986878846;0.997380238;0.993171274;0.99299532;0.997336851;0.988973991;0.997982167;0.991569166
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.602620106;0.972079138;0.988960333;0.991423983;0.98554634;0.992305147;0.992581966;0.993804722;0.991138421
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.9766744;0.987611906;0.995175946;0.996516169;0.992007663;0.995291157;0.988953284;0.996393145;0.989067215
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.953787064;0.978585969;0.983868553;0.997520087;0.996273665;0.996572129;0.998195533;0.997844239;0.998161324
