project;commit;benchmark;params;i1;i2;i3;i4;i5;i6;i7;i8;i9;i10
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.22201962;0.183698119;0.167522224;0.163968723;0.162325039;0.16326844;0.162114815;0.160156543;0.156425768;0.154432136
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.931764382;0.922583484;0.9170245;0.904693202;0.917938635;0.927635169;0.925212066;0.929981046;0.924658264;0.923586525
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.299289003;0.251043759;0.234879867;0.223023655;0.242930882;0.233653835;0.239419283;0.251781544;0.243059573;0.237056756
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.23277974;0.19583332;0.184875153;0.190951796;0.18404216;0.178301656;0.174269926;0.172738015;0.171337291;0.168505855
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.24383674;0.196739673;0.175350156;0.164019258;0.154424492;0.153295127;0.149856938;0.146831761;0.142990028;0.142028204
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.895556141;0.908510139;0.924279862;0.930710619;0.932798812;0.934044198;0.934373176;0.940585218;0.945621799;0.94866727
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput8Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.347322795;0.315083096;0.2805812;0.28097556;0.278845422;0.271398316;0.266966711;0.258836206;0.252560435;0.248098593
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.234210145;0.252796276;0.227103278;0.217061642;0.199592233;0.191606007;0.185742141;0.177486769;0.175927818;0.169935123
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.211201001;0.174322215;0.157112138;0.150546531;0.145313093;0.145039891;0.140711174;0.141186704;0.137258702;0.13492899
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.722661808;0.889166245;0.855739714;0.845816073;0.830331528;0.832725876;0.831105627;0.815670072;0.809446673;0.801758074
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput9Params;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.361028796;0.319086297;0.309931506;0.302192682;0.282400912;0.276780163;0.273011297;0.273013543;0.269819278;0.266446518
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughputSimple;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.19653913;0.17921927;0.198908721;0.186586382;0.186849171;0.186913472;0.182866918;0.176673749;0.17705022;0.172444695
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughputSimple;configFileName=perf5AsyncApndMpscQNoLoc-noOpAppender.xml;0.296692551;0.24141948;0.228095634;0.222412069;0.210672703;0.201728622;0.192654676;0.18870279;0.185601116;0.184925543
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughputSimple;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;1.133632518;1.125765418;1.101281089;1.065246707;1.055651272;1.08357489;1.106577452;1.111239097;1.104795553;1.114179306
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughputSimple;configFileName=perf5AsyncApndXferQNoLoc-noOpAppender.xml;0.369902589;0.345549014;0.332383157;0.34281961;0.337922965;0.321786328;0.315309246;0.307241122;0.311647262;0.307649725
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndDsrptrWithLoc-noOpAppender.xml;0.196291437;0.160978357;0.144176743;0.137145617;0.127625637;0.121194968;0.118070398;0.114120559;0.11302515;0.10964343
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndMpscQWithLoc-noOpAppender.xml;0.152984597;0.137905405;0.234784373;0.242115687;0.2281595;0.217288667;0.206368995;0.198224622;0.190906573;0.183716074
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndWithLoc-noOpAppender.xml;0.184046402;0.141888375;0.120933108;0.111195734;0.104859644;0.096926431;0.093324622;0.087914617;0.08638265;0.084500084
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2LocationBenchmark.throughputSimple;configFileName=perf5AsyncApndXferQWithLoc-noOpAppender.xml;0.169139616;0.14626549;0.135256343;0.122148023;0.121648318;0.119756728;0.113026573;0.110290858;0.106057711;0.103048906
