project;commit;benchmark;params;i10;i100;factor
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.injectWithoutProperties;count=500,threadContextMapAlias=CopySortedArray;0.075353194;0.110949108;1.472387597
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.StringEncodingBenchmark.shiftJisStringGetBytesCharSet;;0.1712489;0.109205632;0.637701216
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.StringEncodingBenchmark.shiftJisStringGetBytesString;;0.050759359;0.10710059;2.109967364
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.JdbcAppenderBenchmark.testResponseTimeHSQLDBException;;0.014663002;0.106334111;7.25186502
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.systemClock;;0.009644167;0.105888318;10.9795197
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughputSimple;;0.027581031;0.103967546;3.769530786
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ConcurrentAsyncLoggerToFileBenchmark.concurrentLoggingThreads;asyncLoggerType=ASYNC_CONFIG,queueFullPolicy=ENQUEUE_UNSYNCHRONIZED;0.047532369;0.101906355;2.143935973
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ClocksBenchmark.coarseCachedClock;;0.035206506;0.100264538;2.847898001
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput7Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.035513191;0.100159541;2.820347568
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.logbackFile;;0.155338851;0.099781278;0.642345924
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.StringEncodingBenchmark.defaultStringGetBytesString;;0.066531101;0.098754694;1.484338798
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.ThreadContextBenchmark.legacyInjectWithProperties;count=5,threadContextMapAlias=NoGcSortedArray;0.021925928;0.098174559;4.477555525
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.MarkerFilterBenchmark.log4jSimpleMarker;;0.022649439;0.097703812;4.313740927
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params;;0.024955288;0.097586714;3.910462275
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.MemoryHandlerJULBenchmark.throughput9Params;;0.085752475;0.09661379;1.126658916
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.SortedArrayVsHashMapBenchmark.putArrayContextData;count=5,length=20;0.150829557;0.095821365;0.635295675
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.iso8859_1Encode;;0.034576353;0.095551127;2.763481901
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLogbackBenchmark.throughput9Params;;0.064119125;0.094390119;1.47210554
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.NanotimeBenchmark.baseline;;0.042173114;0.093904178;2.226636096
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput11Params;configFileName=perf5AsyncApndDsrptrNoLoc-noOpAppender.xml;0.01813778;0.093683012;5.165076112
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.JdbcAppenderBenchmark.testThroughputHSQLDBMessage;;0.102499612;0.093504956;0.912246926
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.Log4j2AppenderComparisonBenchmark.end2endConsole;;0.029160336;0.093207084;3.19636523
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.MemoryHandlerJULBenchmark.throughput2Params;;0.037911346;0.09305996;2.454673086
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.JdbcAppenderBenchmark.testThroughputHSQLDBException;;4.76E-02;0.092631957;1.946135073
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark.throughput2Params;configFileName=perf5AsyncApndNoLoc-noOpAppender.xml;0.045148542;0.091314434;2.022533383
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AnnotationVsMarkerInterface.annotationMissing;;0.078490787;0.090801009;1.156836525
